app,content,score,sentiment,review_clean,review_segmented,language
Tiki,La cai này hahaha,5,positive,la cai này hahaha,la cai này hahaha,vi
Lazada,"Lazada dùng khá tốt ,ổn nhưng tôi thấy các mặt hàng không rẻ như bên Shopee nhưng vẫn thấy Ok. Mong Lazada xem xét.",4,positive,lazada dùng khá tốt ổn nhưng tôi thấy các mặt hàng không rẻ như bên shopee nhưng vẫn thấy ok mong lazada xem xét,lazada dùng khá tốt_ổn nhưng tôi thấy các mặt_hàng không rẻ như bên shopee nhưng vẫn thấy ok mong lazada xem_xét,vi
Tiki,Hay lắm,5,positive,hay lắm,hay lắm,vi
Lazada,hiện tại cũng Ổn sau này chưa biết!!.,5,positive,hiện tại cũng ổn sau này chưa biết,hiện_tại cũng ổn sau_này chưa biết,vi
Shopee,mua hàng dễ dàng cho shopee 5 sao,5,positive,mua hàng dễ dàng cho shopee 5 sao,mua hàng dễ_dàng cho shopee 5 sao,vi
Shopee,trải nghiệm tuyệt vời,5,positive,trải nghiệm tuyệt vời,trải_nghiệm tuyệt_vời,vi
Shopee,tốt ok men,5,positive,tốt ok men,tốt ok men,vi
Tiki,Có ai từ gãy TV media qua đây không,5,positive,có ai từ gãy tv media qua đây không,có ai từ gãy tv media qua đây không,vi
Lazada,hàng chính hãng Ok xúc xắc,5,positive,hàng chính hãng ok xúc xắc,hàng chính hãng ok_xúc xắc,vi
Shopee,hay lắm,5,positive,hay lắm,hay lắm,vi
Shopee,rất nhanh phục vụ chu đá0,5,positive,rất nhanh phục vụ chu đá0,rất nhanh phục_vụ chu_đá0,vi
Shopee,tuyệt và tiện,5,positive,tuyệt và tiện,tuyệt và tiện,vi
Shopee,hihi đe hay,5,positive,hihi đe hay,hihi đe hay,vi
Lazada,Dùng được... 👁️👁️,4,positive,dùng được,dùng được,vi
Tiki,Tiki là hàng chất lượng cao và giá rẻ,5,positive,tiki là hàng chất lượng cao và giá rẻ,tiki là hàng chất_lượng cao và giá rẻ,vi
Tiki,"Ứng dụng rất tuyệt, giao diện dễ nhìn, có nhiều mã giảm giá, giao hàng nhanh..",5,positive,ứng dụng rất tuyệt giao diện dễ nhìn có nhiều mã giảm giá giao hàng nhanh,ứng_dụng rất tuyệt_giao_diện dễ nhìn có nhiều mã giảm_giá giao hàng nhanh,vi
Shopee,mua hàng chất lượng cao giao hàng nhanh chóng,5,positive,mua hàng chất lượng cao giao hàng nhanh chóng,mua hàng chất_lượng cao giao hàng nhanh_chóng,vi
Tiki,"Tiki đừng nói từ tốt và nhanh nữa. Khi các shop đang ở trong ứng dụng của mình mà ko kiểm soát được. Đặt hàng thì mấy ngày trời trong diện ""Đang xử lý"". Rồi một ngày đẹp trời các shop hủy đơn của khách với 1 lý do vô lý. Và thêm nữa mới đặt cái túi đây. Đặt 1 đằng giao 1 nẻo. Thiết nghĩ mình đã mở ứng dụng thì nên chú tâm vào nó.",3,positive,tiki đừng nói từ tốt và nhanh nữa khi các cửa hàng đang ở trong ứng dụng của mình mà không kiểm soát được đặt hàng thì mấy ngày trời trong diện đang xử lý rồi một ngày đẹp trời các cửa hàng hủy đơn của khách với 1 lý do vô lý và thêm nữa mới đặt cái túi đây đặt 1 đằng giao 1 nẻo thiết nghĩ mình đã mở ứng dụng thì nên chú tâm vào nó,tiki đừng nói từ tốt và nhanh nữa khi các cửa_hàng đang ở trong ứng_dụng của mình mà không kiểm_soát được đặt_hàng thì mấy ngày trời trong diện đang xử_lý rồi một ngày đẹp trời các cửa_hàng hủy_đơn của khách với 1 lý_do vô_lý và thêm nữa mới đặt cái túi đây đặt 1 đằng giao 1 nẻo thiết_nghĩ mình đã mở ứng_dụng thì nên chú_tâm vào nó,vi
Shopee,ok cậu,5,positive,ok cậu,ok cậu,vi
Shopee,tốt nma ngâm hàng hơi lâu nha,3,positive,tốt nma ngâm hàng hơi lâu nha,tốt nma ngâm hàng hơi lâu_nha,vi
Tiki,cái app xàm lông. không nhu cầu mua nữa thì xóa app nay có nhu cầu mua thì ko cho cho. biến cho đẹp trời,1,positive,cái app xàm lông không nhu cầu mua nữa thì xóa app nay có nhu cầu mua thì không cho cho biến cho đẹp trời,cái app xàm_lông không nhu_cầu mua nữa thì xóa app nay có nhu_cầu mua thì không cho cho biến cho đẹp trời,vi
Lazada,"Lazada hỗ trợ nhiệt tình, cảm ơn lazada Từ hôm nay mình sẽ dùng lazada 👍",5,positive,lazada hỗ trợ nhiệt tình cảm ơn lazada từ hôm nay mình sẽ dùng lazada,lazada hỗ_trợ nhiệt_tình cảm_ơn lazada từ hôm_nay mình sẽ dùng lazada,vi
Shopee,tốt nhất,5,positive,tốt nhất,tốt nhất,vi
Lazada,nên liên kết thêm home paylater để thêm dịch vụ thanh toán sẽ hay hơn,5,positive,nên liên kết thêm home paylater để thêm dịch vụ thanh toán sẽ hay hơn,nên liên_kết thêm home paylater để thêm dịch_vụ thanh_toán sẽ hay hơn,vi
Shopee,mấy ngày trước đặt đồ bth mà ko hiểu sao h là về lâu kinh với check trong app là hàng tới r chuẩn bị mà ko thấy gọi nản kinh khủng,1,positive,mấy ngày trước đặt đồ bth mà không hiểu sao h là về lâu kinh với check trong app là hàng tới r chuẩn bị mà không thấy gọi nản kinh khủng,mấy ngày_trước đặt đồ bth mà không hiểu sao h là về lâu_kinh với check trong app là hàng tới r chuẩn_bị mà không thấy gọi nản kinh_khủng,vi
Shopee,shopee mua sắm rất là ok,5,positive,shopee mua sắm rất là ok,shopee mua_sắm rất là ok,vi
Shopee,quá vip,5,positive,quá vip,quá vip,vi
Shopee,ok phết mỗi tội là tuyển ship bên đây ko đc tận tâm ô nào cũng vô Duyên ak;)),4,positive,ok phết mỗi tội là tuyển ship bên đây không được tận tâm ô nào cũng vô duyên ak,ok phết mỗi tội là tuyển_ship bên đây không được tận tâm_ô nào cũng vô_duyên ak,vi
Tiki,Ok đấy shipper nhiệt tình ứng dụng dùng mượt mà dung tôi khá thích,5,positive,ok đấy shipper nhiệt tình ứng dụng dùng mượt mà dung tôi khá thích,ok đấy shipper nhiệt_tình ứng_dụng dùng mượt mà dung tôi khá thích,vi
Shopee,mua hàng trên shop pee cách phục vụ của nhân viên giao hàng tốt và an nói lễ phép rất hài lòng ok,5,positive,mua hàng trên cửa hàng pee cách phục vụ của nhân viên giao hàng tốt và an nói lễ phép rất hài lòng ok,mua hàng trên cửa_hàng pee cách phục_vụ của nhân_viên giao hàng tốt và an nói lễ_phép rất hài_lòng ok,vi
Lazada,"săn sale , mua mới 2 đơn thấy không hợp với giá chưa tốt . hủy đơn dính cr01 chã hiểu kiểu gì. cuối năm muốn mua hàng cũng bị làn khó dễ",1,positive,săn sale mua mới 2 đơn thấy không hợp với giá chưa tốt hủy đơn dính cr01 chã hiểu kiểu gì cuối năm muốn mua hàng cũng bị làn khó dễ,săn sale mua mới 2 đơn thấy không hợp với giá chưa tốt hủy đơn dính cr01 chã hiểu kiểu gì cuối năm muốn mua hàng cũng bị làn khó_dễ,vi
Shopee,đánh giá 5 sao,5,positive,đánh giá 5 sao,đánh_giá 5 sao,vi
Lazada,"cay cú shopee khóa tài khoản vô lý, nên quá lazada mua cho lành",5,positive,cay cú shopee khóa tài khoản vô lý nên quá lazada mua cho lành,cay cú shopee khóa tài_khoản vô_lý nên quá lazada mua cho lành,vi
Tiki,Đặt hàng từ tháng 9 đến giờ mới giao lúc hết hạn tìm cách hủy đơn hàng để qua shop khác mua vì nó giao tốt hơn mà vẫn cứ giao không hiểu tiki làm ăn kiêu gì.,1,positive,đặt hàng từ tháng 9 đến giờ mới giao lúc hết hạn tìm cách hủy đơn hàng để qua cửa hàng khác mua vì nó giao tốt hơn mà vẫn cứ giao không hiểu tiki làm ăn kiêu gì,đặt_hàng từ tháng 9 đến giờ mới giao lúc hết hạn tìm cách hủy đơn hàng để qua cửa_hàng khác mua vì nó giao tốt hơn mà vẫn cứ giao không hiểu tiki làm_ăn kiêu gì,vi
Tiki,"Sách giá rẻ, có chương trình sale cho mọt sách nhưng Tiki thường xuyên đóng gói hàng không cẩn thận dẫn đến sách bị móp méo",4,positive,sách giá rẻ có chương trình sale cho mọt sách nhưng tiki thường xuyên đóng gói hàng không cẩn thận dẫn đến sách bị móp méo,sách giá rẻ có chương_trình sale cho mọt sách nhưng tiki thường_xuyên đóng_gói hàng_không cẩn_thận dẫn đến sách bị móp méo,vi
Shopee,Giao nhận gần đến ngày nhận hối đơn hàng làm ăn không có chữ tín,5,positive,giao nhận gần đến ngày nhận hối đơn hàng làm ăn không có chữ tín,giao_nhận gần đến ngày nhận hối_đơn hàng làm_ăn không có chữ tín,vi
Tiki,Tuyệt vời ông mặt trời,5,positive,tuyệt vời ông mặt trời,tuyệt_vời ông mặt_trời,vi
Shopee,nhiều lựa chọn... nhưng thêm chức năng tìm kiếm bằng hình ảnh trong cửa hàng thì tuyệt vời luôn,4,positive,nhiều lựa chọn nhưng thêm chức năng tìm kiếm bằng hình ảnh trong cửa hàng thì tuyệt vời luôn,nhiều lựa_chọn nhưng thêm chức_năng tìm_kiếm bằng hình_ảnh trong cửa_hàng thì tuyệt_vời luôn,vi
Tiki,Tuyệt Vời,5,positive,tuyệt vời,tuyệt_vời,vi
Lazada,rẻ mà bền rất hài lòng cho 5 sao muốn cho 10 sao mà ko đc 😅😅😅,5,positive,rẻ mà bền rất hài lòng cho 5 sao muốn cho 10 sao mà không được,rẻ mà bền rất hài_lòng cho 5 sao muốn cho 10 sao mà không được,vi
Tiki,Hàng Hóa không phong phú như bên lazada mong tiki thay đổi,4,positive,hàng hóa không phong phú như bên lazada mong tiki thay đổi,hàng hóa không phong_phú như bên lazada mong_tiki thay_đổi,vi
Lazada,tốt hơn Shopee,4,positive,tốt hơn shopee,tốt hơn shopee,vi
Shopee,Tuyệt vời. Thanks Shopee! Love,5,positive,tuyệt vời thanks shopee love,tuyệt_vời thanks shopee love,vi
Tiki,Hay Hay,5,positive,hay hay,hay hay,vi
Tiki,Gỡ bớt ứng dụng này đi mọi người ạ Đặt hàng lâu lắm 15 ngày vẫn chưa xử lý hàng xong Mất uy tín với khách hàng,1,positive,gỡ bớt ứng dụng này đi mọi người ạ đặt hàng lâu lắm 15 ngày vẫn chưa xử lý hàng xong mất uy tín với khách hàng,gỡ bớt ứng_dụng này đi mọi người ạ đặt_hàng lâu lắm 15 ngày vẫn chưa xử_lý hàng xong mất uy_tín với khách_hàng,vi
Lazada,it is very good,5,positive,it is very good,it is very good,vi
Lazada,aap rất tốt tuyệt vời quá,5,positive,aap rất tốt tuyệt vời quá,aap rất tốt tuyệt_vời quá,vi
Lazada,"rất tốt nhưng có hơi thắc mắc về cái chỗ xu , sao ap xu vào có mỗi mấy nghìn vậy tưởng phải mấy chục chứ , rõ săn đc mấy chục xu mà",3,positive,rất tốt nhưng có hơi thắc mắc về cái chỗ xu sao ap xu vào có mỗi mấy nghìn vậy tưởng phải mấy chục chứ rõ săn được mấy chục xu mà,rất tốt nhưng có hơi thắc_mắc về cái chỗ xu_sao ap xu vào có mỗi mấy nghìn vậy tưởng phải mấy chục chứ rõ săn được mấy chục xu mà,vi
Shopee,ok shop,5,positive,ok cửa hàng,ok cửa_hàng,vi
Tiki,Đặt hàng 2 tiếng là nhận dc. Nhanh gọn. Khá ưng ý.,5,positive,đặt hàng 2 tiếng là nhận được nhanh gọn khá ưng ý,đặt_hàng 2 tiếng là nhận được nhanh gọn khá ưng_ý,vi
Shopee,"nhiều cái 0₫ và rẻ, rẻ hơn tiktok shop rất nhiều",5,positive,nhiều cái 0 và rẻ rẻ hơn tiktok cửa hàng rất nhiều,nhiều cái 0 và rẻ rẻ hơn tiktok cửa_hàng rất nhiều,vi
Tiki,"App mượt , giao hàng chuẩn",5,positive,app mượt giao hàng chuẩn,app mượt giao hàng chuẩn,vi
Shopee,dạo này shopee sử lý các đơn nhanh ok cảm ơn shopee,5,positive,dạo này shopee sử lý các đơn nhanh ok cảm ơn shopee,dạo này shopee sử_lý các đơn nhanh ok cảm_ơn shopee,vi
Tiki,Thích hợp khi 1mjnh,4,positive,thích hợp khi 1mjnh,thích_hợp khi 1 mjnh,vi
Shopee,ứng dụng tối 99%,5,positive,ứng dụng tối 99,ứng_dụng tối 99,vi
Tiki,Trên goole play giới thiệu là thật rẻ cho đến khi vào thì cái nào cũng từ 200 000 - 3 000 000 chẳng nên vào tiki làm gì cái nào cũng đắt mà nói rẻ tốt nhất là nên mua trên lazada hoặc shopee sẽ ok hơn nha mọi người,1,positive,trên goole play giới thiệu là thật rẻ cho đến khi vào thì cái nào cũng từ 200 0 3 0 0 chẳng nên vào tiki làm gì cái nào cũng đắt mà nói rẻ tốt nhất là nên mua trên lazada hoặc shopee sẽ ok hơn nha mọi người,trên goole play giới_thiệu là thật rẻ cho đến khi vào thì cái nào cũng từ 200 0 3 0 0 chẳng nên vào tiki làm gì cái nào cũng đắt mà nói rẻ tốt nhất là nên mua trên lazada hoặc shopee sẽ ok hơn nha mọi người,vi
Shopee,cx ok nhưng ko áp ddc the gg 60k,3,positive,cũng ok nhưng không áp ddc the gg 60k,cũng ok nhưng không áp_ddc the gg 60 k,vi
Lazada,🫰 😅,5,positive,,,vi
Shopee,rất phù hợp để săn giá thậm trí còn những món đồ lên tới 0đ,5,positive,rất phù hợp để săn giá thậm trí còn những món đồ lên tới 0đ,rất phù_hợp để săn giá thậm_trí còn những món đồ lên tới 0 đ,vi
Tiki,wow thật tốt you,5,positive,wow thật tốt you,wow thật tốt you,vi
Shopee,"Giao hàng muộn, rách, ném hàng vào nhà như ném bom, lúc cần thì gọi mòn mỏi, gọi cả tổng đài giao hàng nhưng vẫn k nhận được hàng, lúc k cần nữa (quá hạn tgian, kcan dùng nữa) thì ném vào như thật. Chịu luôn, đang định xóa app vì đã k giải quyết được việc còn tạo việc cho người sử dụng.",1,positive,giao hàng muộn rách ném hàng vào nhà như ném bom lúc cần thì gọi mòn mỏi gọi cả tổng đài giao hàng nhưng vẫn không nhận được hàng lúc không cần nữa quá hạn tgian kcan dùng nữa thì ném vào như thật chịu luôn đang định xóa app vì đã không giải quyết được việc còn tạo việc cho người sử dụng,giao hàng muộn rách ném hàng vào nhà như ném bom lúc cần thì gọi mòn_mỏi gọi cả tổng_đài giao hàng nhưng vẫn không nhận được hàng lúc không cần nữa quá hạn tgian kcan dùng nữa thì ném vào như thật chịu luôn đang định xóa_app vì đã không giải_quyết được_việc còn tạo việc cho người sử_dụng,vi
Lazada,"Rất hữu ích , tiện dụng , cám ơn ứng dụng này rất nhiều",5,positive,rất hữu ích tiện dụng cám ơn ứng dụng này rất nhiều,rất hữu_ích tiện_dụng cám_ơn ứng_dụng này rất nhiều,vi
Lazada,"tại mấy cái qc mất dạy trên tik tok, t quyết định xóa laz và cho 1*",1,positive,tại mấy cái qc mất dạy trên tik tok t quyết định xóa laz và cho 1,tại mấy cái qc mất dạy trên tik tok t quyết_định xóa laz và cho 1,vi
Shopee,tôi rất thích và hài lòng khi mua hàng bên Shopee,5,positive,tôi rất thích và hài lòng khi mua hàng bên shopee,tôi rất thích và hài_lòng khi mua hàng bên shopee,vi
Shopee,"Nhiệt tình, giao hàng uy tín.",5,positive,nhiệt tình giao hàng uy tín,nhiệt_tình giao hàng uy_tín,vi
Tiki,Quá uy tín,5,positive,quá uy tín,quá uy_tín,vi
Tiki,Nghe nói tốt hơn sàn TMĐT khác .,5,positive,nghe nói tốt hơn sàn tmđt khác,nghe nói tốt hơn sàn tmđt khác,vi
Shopee,cho ví momo liên kết với shopee đi ad,5,positive,cho ví momo liên kết với shopee đi ad,cho ví_momo liên_kết với shopee đi ad,vi
Shopee,thuận tiện với việc mua bán cho những người bận rộn,5,positive,thuận tiện với việc mua bán cho những người bận rộn,thuận_tiện với việc mua_bán cho những người bận_rộn,vi
Tiki,E bị bên vận chuyển hàng k giao hàng nhưng tự ý hủy đơn hàng của e 3 lần rồi ạ . Cho e hỏi làm sao để liên hệ bên giao hàng thế,5,positive,e bị bên vận chuyển hàng không giao hàng nhưng tự ý hủy đơn hàng của e 3 lần rồi ạ cho e hỏi làm sao để liên hệ bên giao hàng thế,e bị bên vận_chuyển hàng_không giao hàng nhưng tự_ý hủy đơn hàng của e 3 lần rồi ạ cho e_hỏi làm_sao để liên_hệ bên giao hàng thế,vi
Lazada,tốt free ship,5,positive,tốt free ship,tốt free ship,vi
Tiki,Rất hữu dụng và có nhìu món đồ đẹp,5,positive,rất hữu dụng và có nhìu món đồ đẹp,rất hữu_dụng và có nhìu món đồ đẹp,vi
Shopee,tôi rất thích ứng dụng này.tặng 5 sao,5,positive,tôi rất thích ứng dụng này tặng 5 sao,tôi rất thích_ứng_dụng này tặng 5 sao,vi
Tiki,Ứng dụng tốt mà mọi người không biết dùng à,4,positive,ứng dụng tốt mà mọi người không biết dùng à,ứng_dụng tốt mà mọi người không biết dùng à,vi
Shopee,"mua đồ rẻ, chất lượng tốt",5,positive,mua đồ rẻ chất lượng tốt,mua đồ rẻ chất_lượng tốt,vi
Shopee,dịch vụ rất tiện ích cho mọi người trải nghiệm trong cuộc sống hàng ngày,5,positive,dịch vụ rất tiện ích cho mọi người trải nghiệm trong cuộc sống hàng ngày,dịch_vụ rất tiện_ích cho mọi người trải_nghiệm trong cuộc_sống hàng ngày,vi
Shopee,"rất ok , trợ giá rất nhiều , nhưng mà hủy đơn ( đang vận chuyển ) rất lâu , mình đặt hơi ít muốn đổi số lượng mà đợi shoppe hoàn voucher chắc hết hạn mất .",5,positive,rất ok trợ giá rất nhiều nhưng mà hủy đơn đang vận chuyển rất lâu mình đặt hơi ít muốn đổi số lượng mà đợi shoppe hoàn voucher chắc hết hạn mất,rất ok_trợ_giá rất nhiều nhưng_mà hủy_đơn đang vận_chuyển rất lâu mình đặt hơi ít muốn đổi số_lượng mà đợi shoppe hoàn_voucher chắc hết hạn mất,vi
Tiki,"Tôi cảm thấy rất hài lòng, tôi đặt hàng , nó giao nhanh hơn dự kiến 3 ngày cơ , tôi đánh giá 5 sao nhé mọi người.",5,positive,tôi cảm thấy rất hài lòng tôi đặt hàng nó giao nhanh hơn dự kiến 3 ngày cơ tôi đánh giá 5 sao nhé mọi người,tôi cảm_thấy rất hài_lòng tôi đặt_hàng nó giao nhanh hơn dự_kiến 3 ngày cơ tôi đánh_giá 5 sao nhé mọi người,vi
Shopee,tốt 👍💯,5,positive,tốt,tốt,vi
Shopee,Shopee hiện nay làm việc chỉnh chu và rất nghiêm túc cho nên cách phục vụ tốt lên nhiều . Rất hài lòng với trang TMĐT của shopee . Chúc cho SHOPEE luôn cải thiện và ngày càng phát triển mạnh . Rât cám ơn .,5,positive,shopee hiện nay làm việc chỉnh chu và rất nghiêm túc cho nên cách phục vụ tốt lên nhiều rất hài lòng với trang tmđt của shopee chúc cho shopee luôn cải thiện và ngày càng phát triển mạnh rât cám ơn,shopee hiện_nay làm_việc chỉnh_chu và rất nghiêm_túc cho_nên cách phục_vụ tốt lên nhiều rất hài_lòng với trang_tmđt của shopee_chúc cho shopee luôn cải_thiện và ngày_càng phát_triển mạnh rât cám_ơn,vi
Tiki,Tiện lợi và uy tín nhưng khó sử dụng,4,positive,tiện lợi và uy tín nhưng khó sử dụng,tiện_lợi và uy_tín nhưng khó sử_dụng,vi
Tiki,"Hàng đóng gói rất đẹp cần phát huy,... . Giao hàng nhanh. Chúc app ngày càng cải thiện tốt hơn!",5,positive,hàng đóng gói rất đẹp cần phát huy giao hàng nhanh chúc app ngày càng cải thiện tốt hơn,hàng đóng_gói rất đẹp cần phát_huy giao hàng nhanh chúc app ngày_càng cải_thiện tốt hơn,vi
Lazada,nói chung cũng ok! nhưng mà sao tui tải nó hơi lâu,5,positive,nói chung cũng ok nhưng mà sao tui tải nó hơi lâu,nói_chung cũng ok nhưng_mà sao tui tải nó hơi lâu,vi
Lazada,"Khá uy tín và tiện lợi , giá cạnh tranh",5,positive,khá uy tín và tiện lợi giá cạnh tranh,khá uy_tín và tiện_lợi giá_cạnh_tranh,vi
Shopee,ứng dụng shopee mua sắm rất tiện lợi và rất tốt,5,positive,ứng dụng shopee mua sắm rất tiện lợi và rất tốt,ứng_dụng shopee mua_sắm rất tiện_lợi và rất tốt,vi
Shopee,"Những góp ý cho app đã được khắc phục, chạy nhanh và ổn định, đáng tin cậy.",5,positive,những góp ý cho app đã được khắc phục chạy nhanh và ổn định đáng tin cậy,những góp_ý cho app đã được khắc_phục chạy nhanh và ổn_định đáng tin_cậy,vi
Tiki,App rất hay nhân viên nói chuyện rất lịch sự hay và còn nhiều khuyến mãi,5,positive,app rất hay nhân viên nói chuyện rất lịch sự hay và còn nhiều khuyến mãi,app rất hay nhân_viên nói_chuyện rất lịch_sự hay và còn nhiều khuyến_mãi,vi
Shopee,Shopee bán hàng đang được người mua hàng tin nhiệm Good,5,positive,shopee bán hàng đang được người mua hàng tin nhiệm good,shopee bán hàng đang được người mua hàng tin_nhiệm good,vi
Tiki,Có giao đến Vân Trục được không,5,positive,có giao đến vân trục được không,có giao đến vân trục được không,vi
Lazada,có bộ dụng cụ nầy sửa máy an tâm hơn,5,positive,có bộ dụng cụ nầy sửa máy an tâm hơn,có bộ dụng_cụ nầy sửa máy an_tâm hơn,vi
Tiki,tui thử tải về giao hàng nhanh thì tui cho 5sao,4,positive,tui thử tải về giao hàng nhanh thì tui cho 5sao,tui thử_tải về giao hàng nhanh thì tui cho 5 sao,vi
Tiki,Mong tiki cho tôi mua hàng uy tiến ạ,5,positive,mong tiki cho tôi mua hàng uy tiến ạ,mong tiki cho tôi mua hàng uy_tiến ạ,vi
Tiki,"Rất tiện lợi. Tuy vậy chức năng phân loại để tìm kiếm sản phẩm vẫn còn rất hạn chế (đặc biệt là đối với sản phẩm hàng hoá về y tế, chỉ hiện rất ít mà chủ yếu là hiện chung nếu tìm kiếm ""thiết bị vật tư y tế. Còn thì chỉ hiện cửa hàng, trong cửa hàng cũng không có chức năng tìm kiếm sản phẩm của cửa hàng đó). Mong sớm cập nhật cải thiện.",5,positive,rất tiện lợi tuy vậy chức năng phân loại để tìm kiếm sản phẩm vẫn còn rất hạn chế đặc biệt là đối với sản phẩm hàng hoá về y tế chỉ hiện rất ít mà chủ yếu là hiện chung nếu tìm kiếm thiết bị vật tư y tế còn thì chỉ hiện cửa hàng trong cửa hàng cũng không có chức năng tìm kiếm sản phẩm của cửa hàng đó mong sớm cập nhật cải thiện,rất tiện_lợi tuy_vậy chức_năng phân_loại để tìm_kiếm sản_phẩm vẫn còn rất hạn_chế đặc_biệt là đối_với sản_phẩm hàng hóa về y_tế chỉ hiện rất ít mà chủ_yếu là hiện chung nếu tìm_kiếm thiết_bị vật_tư y_tế còn thì chỉ hiện cửa_hàng trong cửa_hàng cũng không có chức_năng tìm_kiếm sản_phẩm của cửa_hàng đó mong sớm cập_nhật cải_thiện,vi
Shopee,rất hay và tiện lợi,5,positive,rất hay và tiện lợi,rất hay và tiện_lợi,vi
Tiki,√√√ fttttgtttt5 ftt22‡fffffft5t AAttttttttts.f.sst,4,positive,ftgt5 ftt22 ft5t aats f sst,ftgt5 ftt22 ft5t aats f sst,vi
