epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,tas_strict_p,tas_strict_r,tas_strict_f1,tas_relaxed_p,tas_relaxed_r,tas_relaxed_f1,span_p,span_r,span_f1,sent_matched_p,sent_matched_r,sent_matched_f1,sent_goldspan_p,sent_goldspan_r,sent_goldspan_f1,global_p,global_r,global_f1,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
11,phase2,6.0061,4.7714,0.3943,0.8275,0.6920,0.4402,1.0677,1.4243,0.2024,0.0000,0.0000,0.4086,0.3756,0.3914,0.4422,0.4065,0.4236,0.6603,0.6070,0.6325,0.5917,0.6369,0.5854,0.5670,0.6081,0.5671,0.5608,0.5540,0.5538,best,0.5815,0.4247,0.5797,0.7559,0.6853,0.7084,0.7164,0.5745,0.6331,0.5267,0.6360,0.5820,0.5064,0.5643,39,42,19,100,40,46,12,98,30,31,28,89,53,68,52,173,48,29,31,108,15,81,71,167,58,23,19,100,46,44,10,100,40,48,10,98,39,41,9,89,60,87,26,173,46,48,14,108,46,94,27,167,45,47,8,100
12,phase2,5.6018,4.3772,0.3838,0.8152,0.7512,0.4488,1.0743,1.4143,0.2026,0.0000,0.0000,0.4091,0.3922,0.4005,0.4388,0.4208,0.4296,0.6711,0.6434,0.6570,0.5902,0.6322,0.5751,0.5687,0.6109,0.5623,0.5798,0.5750,0.5758,best,0.6192,0.4459,0.5923,0.7814,0.7246,0.7343,0.7528,0.5630,0.6160,0.5405,0.6519,0.5784,0.4850,0.5325,38,43,29,110,43,54,16,113,27,31,34,92,51,71,56,178,43,31,33,107,15,80,75,170,59,26,20,105,52,47,11,110,47,54,12,113,42,41,9,92,64,88,26,178,46,47,14,107,46,98,26,170,48,49,8,105
13,phase2,5.2030,4.0178,0.3750,0.7959,0.7357,0.4514,1.0788,1.4075,0.2028,0.0000,0.0000,0.4179,0.4152,0.4165,0.4458,0.4429,0.4444,0.6826,0.6783,0.6804,0.5920,0.6359,0.5765,0.5742,0.6153,0.5700,0.5977,0.5930,0.5933,best,0.6647,0.4836,0.6034,0.8009,0.7445,0.7379,0.7899,0.5327,0.5994,0.5513,0.6616,0.5911,0.4800,0.5630,39,46,34,119,44,60,21,125,28,31,37,96,54,77,56,187,45,35,30,110,19,71,80,170,62,30,21,113,56,51,12,119,51,62,12,125,42,42,12,96,66,95,26,187,47,49,14,110,46,98,26,170,54,50,9,113
14,phase2,4.7427,3.6031,0.3607,0.7888,0.7583,0.4587,1.0755,1.4016,0.2042,0.0000,0.0000,0.4422,0.4422,0.4422,0.4659,0.4659,0.4659,0.7076,0.7076,0.7076,0.5925,0.6393,0.5839,0.5826,0.6270,0.5832,0.6248,0.6174,0.6174,best,0.7284,0.5184,0.6355,0.8009,0.7826,0.7469,0.8143,0.5328,0.6091,0.5301,0.6803,0.5854,0.5031,0.5710,49,46,32,127,52,64,19,135,32,29,39,100,53,82,52,187,48,35,32,115,22,78,70,170,68,28,22,118,63,52,12,127,56,66,13,135,43,45,12,100,66,95,26,187,48,52,15,115,46,98,26,170,56,53,9,118
15,phase2,4.5679,3.4407,0.3486,0.7680,0.7938,0.4652,1.0812,1.4035,0.2029,0.0000,0.0000,0.4534,0.4588,0.4561,0.4777,0.4834,0.4805,0.7142,0.7227,0.7184,0.5946,0.6457,0.5932,0.5873,0.6319,0.5891,0.6178,0.6101,0.6092,best,0.7493,0.5444,0.6288,0.8046,0.7870,0.7543,0.8387,0.5305,0.5722,0.5440,0.7053,0.6467,0.4950,0.5713,54,45,33,132,60,69,18,147,32,28,40,100,56,83,49,188,48,41,27,116,21,84,64,169,73,29,19,121,66,54,12,132,62,71,14,147,43,45,12,100,65,96,27,188,48,53,15,116,46,98,25,169,57,54,10,121
16,phase2,4.1423,3.0833,0.3405,0.7708,0.8176,0.4496,1.0672,1.4113,0.2044,0.0000,0.0000,0.4551,0.4659,0.4605,0.4752,0.4865,0.4808,0.7276,0.7448,0.7361,0.5919,0.6424,0.5868,0.5844,0.6294,0.5845,0.6117,0.6042,0.6027,best,0.7507,0.5759,0.6358,0.8238,0.8087,0.7723,0.8561,0.5422,0.5685,0.5469,0.6945,0.6043,0.4934,0.5770,59,40,37,136,68,67,17,152,33,28,40,101,54,85,51,190,44,39,35,118,25,79,67,171,75,29,19,123,68,55,13,136,63,75,14,152,43,46,12,101,66,96,28,190,48,55,15,118,48,98,25,171,58,55,10,123
17,phase2,3.8534,2.8452,0.3347,0.7475,0.8284,0.4404,1.0683,1.4180,0.2033,0.0000,0.0000,0.4698,0.4802,0.4749,0.4884,0.4992,0.4937,0.7403,0.7567,0.7484,0.5996,0.6491,0.5955,0.5892,0.6317,0.5873,0.6241,0.6160,0.6125,best,0.7661,0.5972,0.6358,0.8356,0.8143,0.7891,0.8633,0.5726,0.5524,0.5715,0.6894,0.6146,0.5095,0.5627,66,37,33,136,69,67,20,156,33,30,38,101,52,88,51,191,47,36,37,120,26,83,63,172,75,29,21,125,69,54,13,136,64,77,15,156,42,47,12,101,65,98,28,191,50,55,15,120,48,98,26,172,59,56,10,125
18,phase2,3.8168,2.7820,0.3265,0.7238,0.8646,0.4331,1.0864,1.4004,0.2024,0.0000,0.0000,0.4788,0.4929,0.4857,0.4996,0.5143,0.5068,0.7444,0.7662,0.7552,0.6041,0.6522,0.6018,0.5874,0.6275,0.5849,0.6244,0.6189,0.6154,best,0.7811,0.6112,0.6469,0.8409,0.8114,0.7891,0.8674,0.5862,0.5665,0.5477,0.6923,0.6328,0.5185,0.5801,66,39,31,136,71,74,19,164,32,28,43,103,54,89,50,193,47,41,32,120,29,84,60,173,73,32,21,126,69,54,13,136,66,83,15,164,42,49,12,103,66,99,28,193,50,55,15,120,48,99,26,173,59,57,10,126
19,phase2,3.7254,2.6808,0.3162,0.7240,0.9013,0.4306,1.0908,1.3918,0.2028,0.0000,0.0000,0.4854,0.5008,0.4930,0.5077,0.5238,0.5156,0.7504,0.7742,0.7621,0.6094,0.6556,0.6064,0.5931,0.6299,0.5890,0.6184,0.6113,0.6083,best,0.7976,0.6219,0.6667,0.8468,0.8100,0.7920,0.8602,0.5677,0.5833,0.5269,0.6929,0.6674,0.5243,0.6007,65,40,34,139,71,76,20,167,36,30,40,106,56,90,49,195,46,41,34,121,29,81,61,171,72,32,23,127,69,57,13,139,66,84,17,167,44,50,12,106,69,98,28,195,51,55,15,121,47,98,26,171,59,57,11,127
20,phase2,3.4773,2.4876,0.3126,0.7127,0.9286,0.4288,1.0714,1.4130,0.2033,0.0000,0.0000,0.4932,0.5135,0.5031,0.5145,0.5357,0.5248,0.7565,0.7876,0.7717,0.6154,0.6667,0.6114,0.5913,0.6274,0.5834,0.6139,0.6056,0.6021,best,0.8225,0.6362,0.6667,0.8527,0.8085,0.8010,0.8705,0.5712,0.5895,0.5298,0.6970,0.6684,0.5389,0.6147,68,40,34,142,71,77,24,172,34,29,43,106,56,91,51,198,47,40,35,122,29,83,61,173,73,34,21,128,70,59,13,142,69,87,16,172,44,51,11,106,71,99,28,198,51,56,15,122,49,98,26,173,60,57,11,128
21,phase2,3.2804,2.3606,0.3150,0.7240,0.9100,0.4274,1.0577,1.4164,0.2054,0.0000,0.0000,0.4973,0.5158,0.5064,0.5157,0.5349,0.5251,0.7662,0.7948,0.7802,0.6129,0.6635,0.6073,0.5938,0.6305,0.5858,0.6250,0.6165,0.6128,best,0.8309,0.6490,0.6823,0.8527,0.8227,0.8070,0.8746,0.5809,0.5648,0.5255,0.7066,0.6629,0.5259,0.6118,67,43,32,142,71,78,28,177,36,28,43,107,54,89,54,197,48,39,36,123,26,83,63,172,72,36,21,129,70,59,13,142,71,90,16,177,44,51,12,107,70,99,28,197,52,56,15,123,48,98,26,172,60,58,11,129
22,phase2,3.2440,2.2712,0.3038,0.6997,0.9598,0.4278,1.0804,1.4092,0.2022,0.0000,0.0000,0.5042,0.5254,0.5146,0.5202,0.5420,0.5308,0.7681,0.8003,0.7839,0.6172,0.6672,0.6114,0.5967,0.6331,0.5890,0.6248,0.6162,0.6123,best,0.8299,0.6541,0.6887,0.8578,0.8227,0.8161,0.8746,0.5778,0.5721,0.5511,0.6831,0.6762,0.5338,0.6161,64,42,36,142,71,80,27,178,36,33,40,109,51,91,56,198,47,40,36,123,26,85,61,172,71,37,22,130,71,58,13,142,72,90,16,178,44,53,12,109,71,99,28,198,52,56,15,123,48,98,26,172,60,59,11,130
23,phase2,3.0770,2.1760,0.2912,0.6971,1.0550,0.4294,1.0758,1.3970,0.2048,0.0000,0.0000,0.5080,0.5293,0.5184,0.5255,0.5475,0.5363,0.7764,0.8090,0.7924,0.6151,0.6632,0.6093,0.5988,0.6365,0.5917,0.6234,0.6168,0.6129,best,0.8399,0.6778,0.6887,0.8673,0.8227,0.8182,0.8809,0.5725,0.5762,0.5717,0.6793,0.6724,0.5106,0.6266,64,42,36,142,70,85,29,184,38,36,36,110,54,90,57,201,49,39,37,125,28,83,62,173,69,38,23,130,70,59,13,142,73,93,18,184,44,54,12,110,72,101,28,201,53,57,15,125,49,98,26,173,60,59,11,130
24,phase2,3.0522,2.1317,0.2767,0.6693,1.0715,0.4335,1.0912,1.3940,0.2025,0.0000,0.0000,0.5141,0.5333,0.5235,0.5302,0.5499,0.5399,0.7830,0.8122,0.7974,0.6149,0.6659,0.6108,0.5981,0.6353,0.5917,0.6325,0.6273,0.6237,best,0.8450,0.6717,0.6954,0.8728,0.8339,0.8316,0.8841,0.5764,0.5829,0.5702,0.6802,0.6517,0.5187,0.6355,68,42,32,142,70,84,27,181,38,37,35,110,55,94,56,205,47,38,41,126,29,82,62,173,71,37,21,129,70,59,13,142,72,93,16,181,43,55,12,110,74,103,28,205,53,58,15,126,49,98,26,173,60,58,11,129
25,phase2,2.8032,1.9715,0.2750,0.6782,1.1025,0.4438,1.0653,1.4042,0.2057,0.0000,0.0000,0.5130,0.5317,0.5222,0.5306,0.5499,0.5401,0.7844,0.8130,0.7984,0.6136,0.6627,0.6098,0.6014,0.6396,0.5952,0.6365,0.6324,0.6290,best,0.8450,0.6692,0.7047,0.8728,0.8269,0.8325,0.8921,0.5817,0.5837,0.5702,0.6716,0.6642,0.5187,0.6248,69,41,32,142,72,82,26,180,38,37,35,110,59,93,54,206,50,36,39,125,29,82,62,173,73,36,21,130,70,59,13,142,72,92,16,180,43,55,12,110,74,104,28,206,52,58,15,125,49,98,26,173,60,59,11,130
26,phase2,2.9383,2.0294,0.2768,0.6551,1.1437,0.4288,1.0938,1.4053,0.2004,0.0000,0.0000,0.5228,0.5365,0.5295,0.5382,0.5523,0.5452,0.7907,0.8114,0.8009,0.6225,0.6726,0.6160,0.6078,0.6438,0.5995,0.6406,0.6358,0.6327,best,0.8466,0.6730,0.7023,0.8767,0.8327,0.8359,0.8921,0.5883,0.5992,0.5702,0.6870,0.6551,0.5181,0.6377,67,40,33,140,69,79,33,181,38,37,35,110,58,92,55,205,49,35,40,124,27,82,64,173,71,38,21,130,69,58,13,140,71,93,17,181,43,55,12,110,74,103,28,205,51,58,15,124,49,98,26,173,60,59,11,130
27,phase2,2.8177,1.9556,0.2712,0.6586,1.1687,0.4489,1.0800,1.3998,0.2038,0.0000,0.0000,0.5285,0.5436,0.5359,0.5424,0.5578,0.5500,0.7928,0.8154,0.8039,0.6254,0.6751,0.6203,0.6062,0.6415,0.5992,0.6443,0.6404,0.6369,best,0.8519,0.6742,0.7043,0.8767,0.8470,0.8359,0.8961,0.5908,0.6039,0.5649,0.6913,0.6698,0.5306,0.6399,70,40,31,141,70,78,34,182,38,38,35,111,58,93,54,205,49,37,38,124,29,80,64,173,73,37,20,130,69,58,14,141,72,93,17,182,43,56,12,111,74,103,28,205,51,58,15,124,49,98,26,173,60,59,11,130
28,phase2,2.6725,1.8635,0.2649,0.6572,1.1398,0.4344,1.0698,1.4013,0.2053,0.0000,0.0000,0.5335,0.5491,0.5412,0.5466,0.5626,0.5545,0.7945,0.8177,0.8059,0.6277,0.6774,0.6245,0.6078,0.6437,0.6031,0.6522,0.6495,0.6460,best,0.8545,0.6767,0.7148,0.8767,0.8440,0.8380,0.8961,0.6099,0.5901,0.5673,0.6935,0.6625,0.5501,0.6447,74,39,28,141,74,73,34,181,39,40,34,113,61,92,52,205,49,36,39,124,30,82,61,173,72,39,19,130,69,58,14,141,71,93,17,181,44,57,12,113,74,103,28,205,51,58,15,124,49,98,26,173,60,59,11,130
29,phase2,2.6099,1.7798,0.2644,0.6483,1.1862,0.4408,1.0713,1.4197,0.2024,0.0000,0.0000,0.5284,0.5452,0.5367,0.5422,0.5594,0.5507,0.7942,0.8193,0.8066,0.6232,0.6708,0.6186,0.6076,0.6428,0.6021,0.6605,0.6570,0.6528,,0.8580,0.6767,0.7101,0.8791,0.8369,0.8410,0.9025,0.5862,0.5712,0.5663,0.6942,0.6674,0.5543,0.6383,71,39,32,142,72,74,36,182,38,41,34,113,61,93,52,206,46,37,40,123,30,84,60,174,73,38,19,130,69,59,14,142,72,92,18,182,44,57,12,113,74,104,28,206,51,57,15,123,50,98,26,174,60,59,11,130
30,phase2,2.4468,1.6561,0.2532,0.6426,1.1545,0.4399,1.0702,1.3967,0.2059,0.0000,0.0000,0.5394,0.5539,0.5465,0.5525,0.5674,0.5598,0.7994,0.8209,0.8100,0.6306,0.6755,0.6254,0.6111,0.6451,0.6047,0.6544,0.6517,0.6482,best,0.8642,0.6805,0.7105,0.8830,0.8410,0.8402,0.9097,0.6180,0.5610,0.5806,0.7014,0.6617,0.5693,0.6476,69,43,31,143,71,74,38,183,38,42,33,113,61,93,51,205,45,39,40,124,33,80,60,173,71,39,20,130,70,59,14,143,72,93,18,183,44,57,12,113,74,103,28,205,51,57,16,124,49,98,26,173,60,59,11,130
31,phase2,2.5787,1.7594,0.2608,0.6405,1.1675,0.4264,1.0701,1.4082,0.2044,0.0000,0.0000,0.5429,0.5563,0.5495,0.5561,0.5697,0.5628,0.8036,0.8233,0.8133,0.6321,0.6780,0.6285,0.6090,0.6444,0.6044,0.6557,0.6527,0.6493,best,0.8750,0.6793,0.7166,0.8855,0.8410,0.8475,0.9097,0.6150,0.5785,0.5970,0.7032,0.6617,0.5663,0.6413,67,44,32,143,71,75,35,181,41,42,31,114,62,93,51,206,45,39,40,124,32,81,61,174,72,38,20,130,69,59,15,143,72,91,18,181,45,57,12,114,74,104,28,206,51,57,16,124,50,98,26,174,60,59,11,130
32,phase2,2.4207,1.6360,0.2501,0.6354,1.2273,0.4276,1.0720,1.3991,0.2052,0.0000,0.0000,0.5503,0.5634,0.5568,0.5627,0.5761,0.5693,0.8042,0.8233,0.8136,0.6378,0.6857,0.6363,0.6094,0.6454,0.6055,0.6572,0.6542,0.6507,best,0.8723,0.6792,0.7213,0.8894,0.8410,0.8446,0.9097,0.6368,0.5966,0.6138,0.7135,0.6617,0.5617,0.6413,72,43,28,143,72,75,35,182,42,40,32,114,62,96,48,206,45,39,40,124,32,81,60,173,72,38,20,130,70,58,15,143,73,91,18,182,44,57,13,114,74,104,28,206,51,57,16,124,50,98,25,173,60,59,11,130
33,phase2,2.3573,1.5849,0.2422,0.6240,1.2867,0.4248,1.0840,1.3951,0.2036,0.0000,0.0000,0.5476,0.5602,0.5539,0.5585,0.5713,0.5648,0.8048,0.8233,0.8139,0.6359,0.6809,0.6314,0.6114,0.6457,0.6066,0.6608,0.6577,0.6538,,0.8750,0.6755,0.7190,0.8874,0.8440,0.8505,0.9097,0.6210,0.5935,0.5981,0.7160,0.6617,0.5543,0.6349,68,43,32,143,74,70,37,181,43,40,31,114,63,93,49,205,45,39,40,124,32,80,62,174,73,37,20,130,70,58,15,143,72,91,18,181,44,57,13,114,74,103,28,205,51,57,16,124,50,98,26,174,60,59,11,130
34,phase2,2.3319,1.5718,0.2483,0.6287,1.2519,0.4201,1.0669,1.4186,0.2034,0.0000,0.0000,0.5466,0.5618,0.5541,0.5582,0.5737,0.5658,0.8065,0.8288,0.8175,0.6355,0.6814,0.6319,0.6091,0.6428,0.6057,0.6586,0.6561,0.6515,,0.8805,0.6893,0.7143,0.8855,0.8440,0.8527,0.9176,0.6220,0.5973,0.5910,0.7160,0.6689,0.5582,0.6232,70,43,30,143,75,69,40,184,41,42,31,114,63,93,49,205,46,39,39,124,32,81,61,174,73,38,21,132,70,58,15,143,72,93,19,184,44,57,13,114,74,103,28,205,51,57,16,124,50,98,26,174,61,60,11,132
35,phase2,2.2251,1.4998,0.2385,0.6194,1.3069,0.4291,1.0721,1.4038,0.2046,0.0000,0.0000,0.5471,0.5618,0.5543,0.5579,0.5729,0.5653,0.8056,0.8273,0.8163,0.6329,0.6771,0.6298,0.6085,0.6421,0.6061,0.6594,0.6558,0.6516,,0.8770,0.6868,0.7161,0.8855,0.8481,0.8519,0.9104,0.6328,0.5733,0.6016,0.7260,0.6636,0.5503,0.6221,74,42,27,143,75,68,39,182,41,42,32,115,62,95,48,205,47,39,39,125,31,83,59,173,75,36,21,132,70,58,15,143,72,92,18,182,44,57,14,115,74,103,28,205,51,58,16,125,50,98,25,173,61,60,11,132
36,phase2,2.2050,1.4749,0.2436,0.6160,1.3189,0.4291,1.0779,1.4117,0.2025,0.0000,0.0000,0.5448,0.5586,0.5516,0.5556,0.5697,0.5626,0.8053,0.8257,0.8153,0.6299,0.6745,0.6277,0.6077,0.6403,0.6053,0.6631,0.6601,0.6558,,0.8797,0.6817,0.7161,0.8874,0.8440,0.8497,0.9137,0.6322,0.5653,0.6012,0.7127,0.6617,0.5619,0.6168,73,43,27,143,73,71,37,181,42,41,32,115,59,98,48,205,45,39,40,124,31,83,59,173,74,37,21,132,70,58,15,143,72,91,18,181,44,57,14,115,74,103,28,205,51,57,16,124,50,98,25,173,61,60,11,132
