content,score,app_source
ngày càng ra những chính sách vô lý. k tôn trọng lợi ích của khách hàng. RẤT TỆ,1,com.shopee.vn
tốt,5,com.shopee.vn
ok,5,com.shopee.vn
s ẽ không . .,1,com.shopee.vn
đánh giá 5 sao,5,com.shopee.vn
ok,5,com.shopee.vn
Ok.thêm một sao nữa là 06 nhé.thêm môt sao nữa là 07.,5,com.shopee.vn
ok,5,com.shopee.vn
tốt,5,com.shopee.vn
giao hàng nhanh,5,com.shopee.vn
"không chịu giao hàng, đặt 10 đơn thì bị hủy hết 10 đơn không lý do, khiếu nại thì bảo giải quyết nhưng cũng không giải quyết, shipper thì chứng nào tật đó, giao hàng không điện, giao cho nhà người khác, bôn điện một cuộc là chết hay gì?",1,com.shopee.vn
sao tìm kiếm shop mall mà ra toàn shop yêu thích ?,1,com.shopee.vn
tôi đặt 2 đơn mà toàn tự hoàn trả hàng mà ko chịu giao cho tôi,2,com.shopee.vn
rẻ hơn tiktok,5,com.shopee.vn
giao hàng chậm..không cập nhật đơn hàng,1,com.shopee.vn
Good Shopee,5,com.shopee.vn
"Tệ,đvvc làm ăn như gì v cầm nhầm đơn t sáng kq khác trong khi mấy lần trước giao rất bth giờ thì cầm nhầm xong còn bảo t ghi địa chỉ sai nữa",1,com.shopee.vn
vui,5,com.shopee.vn
"phương thức hoàn hàng rút đi còn 2 cái, bắt phải liên kết với tknh nhưng đến lúc ngta liên kết thì báo lỗi liên tục không cho liên kết",1,com.shopee.vn
ok,5,com.shopee.vn
ĐVVC shoppe và người bán cấu kết nhau lừa tiền khách hàng . đặt đơn này giao thiếu mà tráo hàng khách nữa . giờ không hoàn tiền người bán gửi hàng trở về trong khi lỗi của bên đó . tui đặt chai tím chứ có đặt quà tặng mà không đúng đó đâu . làm ăn lừa đảo,1,com.shopee.vn
hàng chất lượng tốt bền đẹp,5,com.shopee.vn
tự nhiên khóa nich và sdt,1,com.shopee.vn
"có nhiều cái hay , hay mở mấy đợt sale sốc á",5,com.shopee.vn
ok rất tốt,5,com.shopee.vn
sản phẩm chất lượng tốt như shop quảng cáo,5,com.shopee.vn
tot,5,com.shopee.vn
quảng cáo cc,1,com.shopee.vn
rất nhiều tiệm ích,5,com.shopee.vn
"đang lướt phở bò hoặc tiktok, không làm gì, không đụng chạm tới app shoppe, mà nó cũng tự bật lên ứng dụng shoppe, gây khó chịu. app tự chạy ngầm 1,3gb ram ?? Chơi games cũng bị, giờ mỗi lần mua đồ trên shoppe xong lại phải xóa app, nào muốn mua thì tải lại rồi lại xóa ?? chứ còn cách nào nữa đâu app Shoppe gây khó chịu cho người dùng mong nhà phát triển xem xét điều chỉnh lại",1,com.shopee.vn
lâu cx đc mấy đơn 0₫ cx đc á,5,com.shopee.vn
shop này lừa đảo quá nói sỉ ba hộp cuối cùng có một hộp thôi cho một sao thôi,1,com.shopee.vn
giá rât re và thât tuyet voi nhung mua nhieu thi lai tang gia thui và đa lay hang rui ma con bi huy nua,5,com.shopee.vn
ứng dụng tiện lợi tốt,5,com.shopee.vn
tốt,5,com.shopee.vn
quảng cáo quá nhiều,3,com.shopee.vn
sử dụng sdt vẫn thế mà bảo rằng không thể vào được là sao vậy??,1,com.shopee.vn
nhìn rất xinh,5,com.shopee.vn
ok,5,com.shopee.vn
"nó giúp tôi mua đồ,có vocher và rẻ hơn bên ngoài",5,com.shopee.vn
Mua hàng ở tin áp cũng được,4,com.shopee.vn
tốt,5,com.shopee.vn
mua hàng online ngon,5,com.shopee.vn
có những lúc bị lag và đơ,4,com.shopee.vn
giáo hàng nhanh rẻ,5,com.shopee.vn
rất tốt,5,com.shopee.vn
5 sao,5,com.shopee.vn
giá rẻ. mua trả thuận tiện,5,com.shopee.vn
cũng được,3,com.shopee.vn
shoppe luôn luôn tốt,5,com.shopee.vn
Shopee hiện nay làm việc chỉnh chu và rất nghiêm túc cho nên cách phục vụ tốt lên nhiều . Rất hài lòng với trang TMĐT của shopee . Chúc cho SHOPEE luôn cải thiện và ngày càng phát triển mạnh . Rât cám ơn .,5,com.shopee.vn
"ok , giao hơi lâu , nhưng uy tín đấy 🙂‍↔️",5,com.shopee.vn
"yêu cầu trả hàng, shipper thì không vào lấy hàng, yêu cầu 2 lần cũng như không, khiếu nại với nhận viên thì cũng chả được tích sự gì. đúng là bọn phế vật, ra tính năng trả hàng chắc chỉ để chưng với ngầu, tăng uy tín ngu. đúng là bọn bịp",1,com.shopee.vn
tuyệt vời,5,com.shopee.vn
OK,5,com.shopee.vn
tốt,5,com.shopee.vn
"app thân thiện với người dùng, cần quy định các nhà bán hàng phải đăng đúng sản phẩm, nhiều gian hàng đang QC gây hiểu lằm và sai sản phẩm. cần khóa gian hàng người bán hàng lừa đảo.",4,com.shopee.vn
thông báo mất dạy,1,com.shopee.vn
app toàn bán điêu,1,com.shopee.vn
Giao hàng quá kém bắt khách hàng đợi lâu hơn dự kiến mấy ngày vẫn hẹn . hẹn ngày hẹn lượt. không có uy tính. hẹn tới hẹn lui chẳng thấy hàng đâu.,1,com.shopee.vn
"khá là ok, giảm giá quá ngon",5,com.shopee.vn
tốt,5,com.shopee.vn
tệ,1,com.shopee.vn
đơn về kho mấy hôm mà không thấy giao,1,com.shopee.vn
tôi thấy khá OK vận chuyển hơi lâu nhưng với nông thôn thì không có gì đòi hỏi. nói chung vậy khá hài lòng rồi,4,com.shopee.vn
Mua hàng đổi trả được không mất phí ship,5,com.shopee.vn
ưu,3,com.shopee.vn
tệ,1,com.shopee.vn
ít voucher 0đ,5,com.shopee.vn
trả tiền cho shipper shipper không đưa hàng,1,com.shopee.vn
☆☆☆☆☆,5,com.shopee.vn
OK,5,com.shopee.vn
mua dễ dàng,5,com.shopee.vn
hơn 5 sao,5,com.shopee.vn
ok,5,com.shopee.vn
"Hiện tại Shopee thay đổi chính sách, Khi hoàn hàng, Shopee không có hình thức đến lấy hàng tại nhà, mà chỉ có MANG ĐẾN BƯU CỤC, và TỰ SẮP XẾP, cho dù đơn đó hàng có lỗi hay không. Như vậy Shopee đang ""ép"" người dùng không cho trả hàng. Sẽ chuyển sang Tiktok mua hàng",1,com.shopee.vn
tiện dụng,5,com.shopee.vn
cũng cũng đôi khi hàng ko tới như đã hẹn nhưng vẫn tốt hơn ko tới và hàng đôi khi ko như trong hình ảnh nhưng tạm chấp nhận đc,3,com.shopee.vn
"Ngâm đơn hàng rất rất lâu, có hối cũng không giải quyết cho khách hàng",1,com.shopee.vn
"nhanh, tiện lợi, cơ bản gì cũng có đầy đủ theo nhu cầu",5,com.shopee.vn
"đặt hàng mà chỉ thấy hàng hoàn về người gửi. mấy đơn liền rồi.ngày giao hàng thì ko chính xác.tự ý hủy đơn của người mua luôn.lần đầu mua đc giảm 80k mà ko thấy giao,hoàn về người gửi phí mấy quyền lợi lần đầu mua luôn.",1,com.shopee.vn
Rất tiện lợi,5,com.shopee.vn
không cho dùng voucher,1,com.shopee.vn
"đvvc spx để đơn tại kho quá lâu, không tiến hành giao cho khách, bị quá nhiều lần",1,com.shopee.vn
"ngồi đợi 2 đơn mãi không thấy giao, vào xem thông báo thì thấy bị hủy, hỏi thì toàn trả lời đại khái ""giao không thành công nên hủy"". 1 đơn không nói, này 2 đơn.",1,com.shopee.vn
nhiều đồ chơi đẹp,5,com.shopee.vn
"đơn hàng tự hủy dù là lỗi shipper 😡😡😡😡👏😡😡😡, có gọi nhưng lại nói là nhờ tôi đi tới chổ ổng đang giao vì ko bt đường , đi ko đc nói mai giao thì cúp máy rồi hủy hàng tôi . Riết ko bt shipper hay ông nội ng ta nữa . Báo cáo app thì ko trả lại hàng tôi đc , hàng đã đợi mà ko giao , uổng công mua 😡😡😡😡😡 . App🫷🫷🫷🫷🫷🫷tệ , chê . Shipper tệ x10",1,com.shopee.vn
ok.okokokok,5,com.shopee.vn
xóa quảng cáo,1,com.shopee.vn
ko thấy đánh giá shopeer chưa kể đơn sao mà toàn mùi nc đái ấy phiền chỗ của ghệ hơn nhà quan chết chủ,1,com.shopee.vn
ứng dụng để biết tín nhắn cũng rất hay hơn mỗi ngày qua các xếp hình chúc Tết góp mặc để thật sự hay hơn để biết đến hong để phiền não đàm tiếu ngạo mạn mắt tình cảm quý mến khàch hàng khó nghe thấy vậy nhé.🤩😍😍😊🤨. bớt nhậu nhẹt bia rượu .,2,com.shopee.vn
đồ trên Shopee rẻ còn giao hàng tận nhà,5,com.shopee.vn
Shoppee vô đối,5,com.shopee.vn
"Đầu voi đuôi chuột,lừa dối khách hàng, đáng giá 1/2 sao 👇👇mọi người hãy tẩy chay",1,com.shopee.vn
ok,5,com.shopee.vn
Trải nghiệm mua hàng cực kì tệ hại sàn k bảo vệ quyền lợi người mua yêu cầu hoàn hàng rắc rối bắt bẻ gây khó khăn. Không hỗ trợ khách hàng khi sản phẩm bị lỗi không sử dụng được. Shop bênh vực người bán bất chấp dù mua ở shope mail nhưng vẫn nhận dc hàng giả hàng nhái khi yêu cầu hoàn hàng thì lại bị hủy khiếu nại. Thái độ của nhân viên CSKH rất trịch thượng yêu cầu shop xem xét lại. H nên mua qua tiktok shop ít nhất quyền lợi người mua được đảm bảo,1,com.shopee.vn
"cho khách hàng mã giảm mà dùng thì k cho dùng,xg bỏ mã giảm lẫn free ship vẫn k cho đặt ,xóa ứng dụng lun đi",1,com.shopee.vn
"làm cái gì cũng pop up ở đâu cũng pop up, pop up nhiều lỗi luôn app game đang chơi cay vc, chẳng lẽ gỡ luôn cái app",1,com.shopee.vn
hàng hóa thì ko nói j nhưng quảng cáo thì vừa phải thôi chứ để cái nút ấn bộ thiếu ng truy cập lắm hay gì mà kì v spam liên tục mà ấn thì kbh vô chán lắm r đấy ?????????,1,com.shopee.vn
"chính sách 15 ngày đổi chả hoàn hàng shopee, chỉ là cái nói rối, tôi mua hàng không cho đồng kiểm bắt thanh toán mới được kiểm tra hàng và chất lượng hàng, tôi kiểm tra hàng xong thấy chất lượng hàng quá kém lỏng lẻo, tôi đã yêu cầu chả hàng ngay hôm đó, giờ lấy được tiền tôi rồi ko cho chả hàng lỗi hàng kém chất lượng, , bên bán chỉ bọc 2 miếng bìa cát tông, shopee từ chối chả hàng với lý do, phải còn nguyên seal nguyên kiện, không cho tôi kiểm tra thì mua về để đó không được đụng vào hả,",1,com.shopee.vn
"giao hàng lâu phải ấn hỗ trợ mới bắt đầu giao , không bằng bên tiktok hàng về từ sáng là giao luôn, app giao hàng đời đầu mà kém quá",1,com.shopee.vn
app rất tốt!,1,com.shopee.vn
rất uy tín,5,com.shopee.vn
"shiper làm ăn chán, lấy hàng thì không lấy, giao thì chậm trễ. Shop đã đóng hàng để đợi ship lấy mà không tới lấy đã đành còn dám để lý do shop không giao hàng cho shiper. Làm mấy ngày như vậy dẫn đến đơn bị hủy làm trễ nãi công việc. Bên xxx giao nhanh mà shiper còn tốt hơn. Rất là chán",1,com.shopee.vn
phải tải đi mới,5,com.shopee.vn
mẹ gắn link gắp tg intenet m sập mẹ đi,1,com.shopee.vn
Quảng cáo trên các nền tảng khác quá nhiều khiến người dùng rất phiền.Tại hiệu ứng dấu X giả để lừa người dùng ấn vào và chuyển thẳng vào ứng dụng RẤT PHIỀN TOÁI.Hi vọng xem lại.Đánh giá 1 sao nhiều lên!,1,com.shopee.vn
app mua sắm mà t tin tưởng nhất🥰🥰,5,com.shopee.vn
mua sắm Shopee nhanh chóng và tiện lợi hơn. rất nhiều sản phẩm tùy chọn rất thích 👍,5,com.shopee.vn
đơn hàng nó bảo 4 ngày mà vào app thì nó 6 ngày đặt đơn hàng chán không thèm nói,1,com.shopee.vn
"quảng cáo quài, tải r mà cứ lằn nhằn",1,com.shopee.vn
hàng hoá đa dạng sản phẩm giá cả hợp lý hổ trợ khách hàng OK,5,com.shopee.vn
bố m xin phép đánh giá 1s con app rác rưởi này mới thử đặt đồ trên app mà đăng kí 2 số mà khoá tận 2 số luôn thề quả app rác rưởi nhất mà bố từng cài xin phép gỡ 1 lần và mãi mãi,1,com.shopee.vn
ok đếy nhưng nhiều lúc vô web gg mà thấy qc shopee cái là tự động mở luôn app hơi bực mik,4,com.shopee.vn
giao lâu quá,1,com.shopee.vn
tốt,5,com.shopee.vn
chán,1,com.shopee.vn
rất tiện lợi an toàn hài lòng,5,com.shopee.vn
"nên làm việc lại với đơn vị vận chuyển,t đặt 3 đơn,cả 3 đều mất hàng rồI bị hủy",1,com.shopee.vn
tự ý hủy hàng với lí do có hành vi giao dịch bất thường,2,com.shopee.vn
tốt,5,com.shopee.vn
kh nên tải mình nói thật,1,com.shopee.vn
"Shopee gọi 1 số, shopee food gọi 1 số khác, tài xế gọi số bị mất sóng, tự hủy đơn, không thể liên lạc lại.",1,com.shopee.vn
ko xứng đáng,1,com.shopee.vn
ok,5,com.shopee.vn
tốt,5,com.shopee.vn
"quá tệ , đặt có mỗi 1 đơn thôi mà không thanh toán khi nhận hàng được cứ bắt thanh toán bằng thẻ nội địa NAPAS,vocher thì rõ nhiều mà chẳng có sử dụng được cái nào,tiền ship thì rõ đắt tận 32k mẹ nó khó chịu vcl",1,com.shopee.vn
rất hữu dụng,5,com.shopee.vn
"shoppe food mục săn deal là một mớ hỗn độn, phát điên thật sự. quán đóng cửa vẫn để trên đó mặc dù bị trừ tiền không được hoàn lại",1,com.shopee.vn
app dùng đc nhưng thất vọng về shipper ko gọi cho người nhận mà tự hủy 😡,1,com.shopee.vn
Mua đồ rẻ hơn. giao hàng nhanh. Chất lượng tốt,5,com.shopee.vn
không thích quảng cáo này,1,com.shopee.vn
"damn, quảng cáo giật mình",1,com.shopee.vn
good !,5,com.shopee.vn
quản cáo nhiều vl,1,com.shopee.vn
tốt,5,com.shopee.vn
khóa tk 1 cách c vô lý trong khi mới dky shopee vip khách dùng mã gg thì lại kêu lạm dụng mã rồi mua spvip để làm gì h coi như mất ko à điên cả ng vs cái hđ ăn cướp như vậy mà ko bị điều tra rồi phạt đi đặt nick nào khóa nick đấy xàm l lắm r dâyd,1,com.shopee.vn
tốt,5,com.shopee.vn
"app lừa đảo, mua hàng khóa nick không hoàn tiền, t sẽ gửi lên an ninh mạng",1,com.shopee.vn
quá tuyệt vờiiiii,5,com.shopee.vn
SpxExpress giờ ngày càng tệ,1,com.shopee.vn
bắt đảm bảo chi chi ná,1,com.shopee.vn
"yêu cầu shoppe thận trọg trog phần 'chọn phương thức thanh toán' của người mua, sao t k có tài khoản ngân hàng đâu mà k hủy đơn đc vì phải có tài khoản ngân hàng, r hủy kiêủ j má??? sao bt t k có r mà làm khó thế. báo t đợi đến đơn hàng đang giao r t ms đc 'yêu cầu hủy'. Tệ hơn thì k hủy đc luôn thì đừng trách t bom, mất luôn mã giảm mà chả đc j",2,com.shopee.vn
đặt hàng đc shop và tép giải lí rất hay và yên tâm,5,com.shopee.vn
oke nhiều lúc hơi ăn chặn,4,com.shopee.vn
rất tiên,4,com.shopee.vn
tạo tài khoản sdt shoppe không làm gì để đó giờ muốn mua hàng thì kêu là tài khoản sdt bị lỗi f02 đơn hàng ảo?? Gọi nvcskh thì họ kêu để xem xét lại làm việc khoảng gần 2 tiếng sau gửi thông báo vì tài khoản vi phạm tiêu chuẩn cộng đồng của shoppe nên khoá vĩnh viễn. Là sao hả shoppe nhiều ?? lắm á,1,com.shopee.vn
đang mua hành thì bị khoá tài khoản không hiểu lý do??,1,com.shopee.vn
nhiều khi sale giá hời lắm nên tải nha,5,com.shopee.vn
"tôi là người mới được cái phiếu giảm giá mà cấm tài khoản không cho tôi dùng phiếu, đã thế còn khoá tài khoản của tôi.",1,com.shopee.vn
rất tốt,5,com.shopee.vn
shop rất uy tín cho khách hàng đồng kiểm mong sop cải thiện nhiều hơn để bảo vệ quyền lợi của khách hàng tặng sop 5sao,5,com.shopee.vn
Tệ,1,com.shopee.vn
Sàn quét sản phẩm hàng giả hàng nhái rất vớ vẩn... Đầy đủ những quy định đăng bán thì chỉ có nhà sản xuất mới có...Bán tạp hoá thì moi làm sao được giấy kiểm nghiệm chứng nhận sản phẩm...Sản phẩm có hoá đơn giá trị gia tăng chứng mình nguồn gốc mà chỉnh sửa bổ sung thì không được vẫn cho là hàng giả hàng nhái,1,com.shopee.vn
giao hàng quá chậm hàng của tôi bị delay tận 2 tuần tại kho,1,com.shopee.vn
tự dưng k cho người ta đăng nhập bằng google mỗi lần bấm đăng nhập bị lỗi L01,1,com.shopee.vn
Hạn chế tự mở app khi người ta đang mở ứng dụng khác thì hay hơn,1,com.shopee.vn
Ok,4,com.shopee.vn
app làm ăn thấy chán hàng thì dự kiến mà ko thấy giao đâu app này nên vứt đi chứ ko nên sài làm ăn cẩu thả như nước đổ lá môn,1,com.shopee.vn
okok good good,5,com.shopee.vn
shopee dạo này tệ quá đặt toàn tự hủy đơn không giao,1,com.shopee.vn
tôi rất thích shoppe nhưng tại sao tôi đặc hàng mà vài tuần cũng chưa có người giao đến😢,3,com.shopee.vn
"dvvc khá chậm , giao hàng không chính xác",1,com.shopee.vn
tư huy hàng của ngk,1,com.shopee.vn
tốt 👍,5,com.shopee.vn
tôi có một đơn hàng chưa kịp nhận thì shopee đã tự hoàn về hoan về cho người bán nhưng khi hôm nay đã giao,1,com.shopee.vn
"lag quá, ko load đc luôn",1,com.shopee.vn
nhiều mã 0đ lắm aa,5,com.shopee.vn
ok,5,com.shopee.vn
đặt hàng liên tiếp mà đơn nào cũng tự hủy hết không nghe shippe gọi gì hết yêu cầu giao lại cũng không có giao làm việc chưa tốt,1,com.shopee.vn
"1 ngày chốt mấy đơn, mà nay hàng lỗi cả shop và shopee ko giải quyết, bắt khách chịu mất 139k",1,com.shopee.vn
đa dạng mặc hàng có cái giao hơi lâu,5,com.shopee.vn
"trời,đơn hàng của tôi về việt nam rồi vẫn bị trả lại kho xuất ở trung.bộ gửi về ko được hả?🙂tôi đang bức xúc về điều này",1,com.shopee.vn
không giải quyết được gì,1,com.shopee.vn
rất tốt,5,com.shopee.vn
Cho 1⭐ tại đặt toàn bị MO2,5,com.shopee.vn
tốt nhất hệ thóng chậm và vấn đề hoàn tiền kém,4,com.shopee.vn
"Làm ăn láo nháo lắm, từ shop bán hàng, đến nhân viên shopee và nhân viên vận chuyển.....",1,com.shopee.vn
hài lòng,5,com.shopee.vn
Làm ơn quản lý bên kho vận chuyển dùm cái. Bị lấy hàng xong giao thùng không 💢,2,com.shopee.vn
không có tiền mua cứ hiện lên quài,1,com.shopee.vn
"bán hàng khôg đúng như quảng cáo hay giao thiếu, khiếu nại shopee khog giải quyết thoả đáng giao hàng lâu cực kì",1,com.shopee.vn
"Trải nghiệm mua hàng rất rất tệ, app gì đặt xong toàn khóa tài khoản, hủy đơn vô lý",1,com.shopee.vn
sử dụng tốt,5,com.shopee.vn
ok mng,5,com.shopee.vn
ok,5,com.shopee.vn
nếu nhiều mã giảm giá hơn,5,com.shopee.vn
"Cần vay thử vào VayTotNhat nhận 5tr, dành cho ai kẹt lúc này. đvvc để tt ngày nhận hàng ko chính xác gì hết, trước khi đặt để ngày đảm bảo nhận hàng, đến khi đvvc lấy hàng thành công thì lại đổi thành ngày giao hàng dự kiến, shopee nên làm việc lại với đvvc về phần này nha, t ko cần voucher 15k gì đó, t cần giao hàng đúng hẹn",5,com.shopee.vn
không thanh toán khi nhận hàng được,3,com.shopee.vn
tốt,5,com.shopee.vn
ổn,3,com.shopee.vn
quá tệ,1,com.shopee.vn
UPDATE thêm thông báo nổi màn hình điện thoại ĐƠN HÀNG ĐANG VẬN CHUYỂN VÀ ĐƠN HÀNG ĐANG TRÊN ĐƯỜNG GIAO ĐẾN BẠN,3,com.shopee.vn
rất nhiều thứ đẹp,5,com.shopee.vn
"bắt thanh toán qua ứng dụng, không đặt được sảm phẩm",1,com.shopee.vn
giao hang rất nhanh và hàng tốt .nhưng sđt thì gi sai số .thông tin có đây đủ sđt và thông tin đúng gi toàn sai sđt,3,com.shopee.vn
"Shopee nên nâng cấp hệ thống thông báo , cảnh báo sắp đạt giới hạn để người dùng họ chủ động tự kiểm soát hành vi nhận xu khi xem livestream thay vì hệ thống chặn không cho nhận xu nữa. Hệ thống cứ báo "" Ghi nhận họat động bất thường"" không cho nhận xu thưởng sau khi xem live trong khi người dùng không biết mình đã lỗi ở phần nào, sai quy định ở phần nào để còn biết mà sửa. Ngoài ra cần có thông báo rõ ràng người dùng đã vi phạm lỗi nào và cách để hồi phục lại.",3,com.shopee.vn
má tao săn hàng 1k và tao thấy có mã freeship thì tao mới dùng dùng xong vừa đặt được cái nó khóa tài khoản vĩnh viễn luôn trong khi tao còn 8 9 đơn hàng đang trong quá trình đóng gói và còn xu chưa dùng hết mà nó khoá tài khoản của tao ??,1,com.shopee.vn
tự ý hủy đơn hàng đăng nhập thì toàn lỗi,1,com.shopee.vn
như quần què,1,com.shopee.vn
đặt 5 món đồ cứ bị hủy liên tục 1s nhé,1,com.shopee.vn
"shopee dạo gần đây hay trộm đồ vặt lắm. Hàng người ta trả về shop, nhưng không thấy trả về rồi tự hủy và im luôn, tiền hoàn trả chắc là bỏ túi luôn rồi",1,com.shopee.vn
không hài lòng,1,com.shopee.vn
quá vip,5,com.shopee.vn
kẻ bt dùng có lối đi riêng🤫,5,com.shopee.vn
tuyệt kỹ,5,com.shopee.vn
Trạm nhận hàng hay bưu cục nhận hàng cũng không có để nhận... shipper thì không chịu phối hợp giao hàng với khách... hẹn shipper thì nói là 15h - 15h30 nghĩ không giao nữa... chưa hết giờ hành chánh đã nghĩ... xin địa chỉ bưu cục hay trạm nhận hàng... thì shipper cũng nói nghĩ luôn... làm ăn kiểu này làm gì còn có khách hàng... làm mà muốn nghĩ không àk... dẹp luôn cho rồi....,1,com.shopee.vn
Mong shoppe sẽ có chức năng đặt giờ giao hàng để tôi có thể nhận được hàng mà ko phải hoàn đơn,3,com.shopee.vn
giảm nhiều,5,com.shopee.vn
tuyệt vời,5,com.shopee.vn
Toàn chỉ biết hủy đơn khoá acc của khách hàng,1,com.shopee.vn
đc đấy,5,com.shopee.vn
"Mua sắm tốt, giao hàng nhanh",5,com.shopee.vn
mua mà ko cho mua,1,com.shopee.vn
"Sau vài năm xài shoppe thì cũng ko hài lòng vì có những gian hàng bán hàng lỗi, mình toàn trả tiền cho shop hàng trăm đến hàng triệu nhưng khi hoàn lại rất lâu và mất thời gian kèm đó là ship rất lâu mới đến lấy hàng.",3,com.shopee.vn
"dịch vụ tốt cho 9/10 điểm, tôi thích dịch vụ này",5,com.shopee.vn
"quảng cáo ko tắt đc mà nhảy qua kênh đánh giá, quảng cáo shopee gây khó chịu, tự chuyển, ko cho thời gian tắt, nút tắt thì quá nhỏ cố ý để người xem bấm nhầm chuyển trang, lươn lẹo",1,com.shopee.vn
"Shopee luôn là ứng dụng 10* tuyệt đối trong lòng mình , mình sẽ luôn đồng hành và cảm ơn Shopee rất nhiều !!!",5,com.shopee.vn
rất tiện lợi,5,com.shopee.vn
shoppee không cho sửa ngày tháng năm sinh cho phù hợp với thực tế. Buộc phải xóa tài khoản. Gây ức chế và ấn tượng rất xấu của khách với shoppee,2,com.shopee.vn
đỉnh,5,com.shopee.vn
Shopee rất tuyệt vời,5,com.shopee.vn
trễ thời gian giao hàng quá lâu,1,com.shopee.vn
"app rất tệ, mục chát phân loại TẤT CẢ & ĐANG HOẠT ĐỘNG, chẳng có tác dụng gì, Thông báo chát ko kịp thời để người bán phản hồi, app rối như canh hẹ",1,com.shopee.vn
"tập trung về bắc ning, thì ngày dự kiến nên cộng 2 3 ngày để còn biết đường, toàn bị giao chậm.",1,com.shopee.vn
