content,score
"Ghép toàn thứ tạp nham gì không, di chuyển lớ ngớ,bị bắt kẻ, không biết lên đồ,tranh lane,chs thua sv mà còn lên giọng với ngta, không biết pick tướng,toàn rank cth ghép vàng,bk,đồng yêu cầu sửa lại cách ghép đội người với người, đừng bắt rank cao gánh rank thấp",1
game lag vãi cúc,1
hay,5
"Toàn ghép lệch rank với máy,đánh thì ngu,tật,đề nghị sửa lại hệ thống ghép trận đấu hạng",1
game nhu cc tỉ lệ chs rank đơn gặp toàn bọn occ ko,1
game mất công bằng,1
200ms hoài mới đóng tiền wifi xong mà 200ms sao chơi lúc mà chơi team kia ko có skin xịn thì mượt mà có 2s hay 3s là lag đt iphone 11,1
ghép toàn lũ oc,1
👍👍👍👍👍,5
game rất hay,5
"game gắn bó vs t 5 năm r nên t ko nỡ xoá thôi chứ bgio lỗi tùm lum ra, ghép team thì toàn bọn phá game afk, cướp lane, mệt lắm",4
game như c chơi ghép chúng team óc k cân bằng trận,1
Lúc cày uy tính chỉ hồi được tối đa 3 uy tín ko hồi thêm được nữa còn lúc AFK thì lại trừ vô số,1
Lại cập nhật oy chán,5
Ghép team toàn gặp sv đứa thì AFK đứa thì phá game team bạn đánh như tuyển thủ chuyên nghiệp team đánh như cức anh gà ghép trận như quần què người ta t xóa game,1
tru uy tin cc,1
chán game ghép toàn phá chịu game rác vc,1
5 sao vì raz có màu sicula,5
game hay lắm nha khuyến khích chơi,5
Hay,5
rác,1
ghép toàn sv,1
game như l thua chuỗi 8 rồi vẫn thua tiếp chả hiểu ghép kiểu j lệch trình vcl cthu mà ghép đc cả kc,1
hay,5
"mặc dù là mình phối trang bị đúng rồi nhưng vẫn bị trừ điểm uy tín mà máy báo là trang bị troll,sửa lại giùm",1
nếu tâm trạng ko tốt thì hãy tâm sự với krixi nhé thích nhất krixi,5
lag vl,1
"oke ko nói nhiều tuy chơi bằng máy cũ xong hỏng nhưng ko sao lại mua máy mới chơi tiếp,game oke nhưng tăng lại sức mạnh cho Alan đc ko?",5
mạng đang căng tại sao lại 200ms ??,3
game hay,5
game toàn người chơi phá gank cướp vị trí,3
game toàn trẻ trâu phá game tranh đường,1
"mẹ có cái t bình thường cũg bị vi phạm nữa, game tối ưu skin vậy như cưk,3s tối thượng mà xấu hơn 2s nx",1
"giờ ghép trận toàn loại kiểu j, game ko còn như xưa",3
game ghép chung đồng đội dell j ks ko,1
tôi thấy rất vui,5
ghép toàn tuất,1
biết ghép teem ko vậy,1
hay vãi,5
"Hệ thống ghép đội của Liên Quân thực sự là một thảm họa khi liên tục bắt tôi phải chung team với những thành phần ""trẻ trâu"" phá game.​Tôi không thể chịu đựng nổi việc nỗ lực leo rank nhưng lại bị kìm chân bởi những đồng đội tranh lane, AFK và chửi bới vô văn hóa.​Thuật toán matchmaking dường như đang cố tình sắp xếp người chơi nghiêm túc vào những trận đấu không thể thắng nổi. ​Tại sao những kẻ phá hoại trải nghiệm người khác vẫn nhan nhản mà không bị hệ thống xử lý thích đáng?tôi rất bức xúc",1
nốt sinh nhật 10 tuổi hưởng dương là vừa đi,1
giúp tôi giải trí.,5
"đề nghị game sửa lại phần tải,chứ mỗi lần vào là game lại lag mà còn tự tải nữa chứ",1
ghép team như l chơi gặp afk phá game hack,1
Game rác.,1
"Lúc nào ghép team cũng có ng afk,phá game, mod skin gây lag,..tố cáo thì bị trừ mỗi 3-5, có khi k trừ, còn mấy b k cố ý, văng game,.. thì bị trừ 7-9 ut. Team mình thì toàn súc vật tật nguyền đầu thai biết chơi game. Team bạn như tuyển thủ Sgp lai bâng. Ghép thì còn ghép trúng máy, mấy thằng chửi tố cáo thì không bị gì, mấy ng nói câu bình thường th tố cáo cũng bị cấm chat. Game thì giật lag, không chơi được. Hiểu sao kh nổi 4sao.",1
hay nha ní,5
hay giúp tăng tính chiến thuật,5
tui thấy nó chơi vui v@i,4
Thống kê trận đấu nguuu bò,1
Trêu champ wirro đấy à . Bao giờ em ghệ t mới có skin,1
Phiên bản mới cập nhật lỗi. Thỉnh thoảng bị đẩy ra k và đơ luôn ứng dụng k vào lại đc trong khi máy vẫn hoạt động bình thường,1
gép toàn l,1
"ad ôi, cụ thể hnay và hqua, mỗi lần chờ vào trận đc khoảng 10 giây là bị văng game, vào lại cx bị văng, ảnh hưởng đến cảm xúc chơi game và uy tín của tài khoản, mong ad sửa chữa sớm",3
game ghép toàn thú,1
hay,5
chơi tàn chuỗi thua,2
game rất hay hi vọng anh gà sẽ cho nhiều skin đẹp và free hơn,5
game như củ lờ từ vụ yue hạt gạo đến vụ cài cắm CNY. giờ lại còn ko tối ưu hóa game đi cứ lúc giao tranh đ ai làm gì cũng lag lag bực hết cả mình,1
game như c,1
ok,5
ghép toàn mấy tk sv đề nghị liên quân trừ uy tín nặng,1
tỉ lệ ghép trận không hề cân bằng đồi mình như tạ nghìn cân còn đội bạn đánh như thần,1
"Game rác, có dưới 1 sao để đánh giá không ? Yêu cầu Google chú đến trường hợp nhà phát hành Này có hành vi không phù hợp với người tiêu dùng. Xem xét trường hợp gỡ ứng dụng trên.",1
rep trận dính chúng mấy thằng chú nhục,1
quá lag do tải tài nguyên tôi bị văng và đứng màng hình rất lâu,2
chơi rất vui khi leo rank,5
game rác,1
game như lol,1
sao chế độ cờ vua không cho dùng mic hay chát chít nói chuyện chơi không thì khô khan quá hãy cho nói chuyện với nhau chứ,3
lạm dụng chất tướng lối chơi đấu sĩ là thắng game ko còn kĩ năng,2
tuyt voi,5
game toàn trẻ trâu chơi toàn toxic,1
xếp một con bk di đánh với con tanh mẹ cân bằng tướng nhulon,1
thắng bạn tại game ghép kĩ năng cái loll,1
rất hayyy,5
game hay,5
"tôi khuyên mọi người đừng chs game này nx có nhiều cái gây ức chế lắm, ức chế mà giữa trong lòng thì dễ hại cho sức khỏe lắm, nếu lỡ tải r thì xóa đi game này ko dành cho người đi đơn",1
làm ăn cẩu thả buff bẩn này no trừ dc 4 uy tín chịu gà,1
làm ăn như con củ cặc,1
bn tôi đưa tôi tới và làm tôi nghiện game này,5
cập nhật game xong cực kì lag,3
hay,5
game gì mà đồng đội Bot,5
game l nó afk từ đầu trận mà vẫn chừ sao game rác vkl,1
game ngon vl,5
Game như ln ko khắc phục Toàn hack,5
quá tệ,1
"game chơi thì vui đấy, nhưng mà chơi cùng mấy thằng ngu thì không vui , không biết có phải là cái thuật toán của game khi mình ghép được một trận hay, thì y như rằng Mấy trận còn lại, ghép cho bọn mới biết chơi, đã thua lại còn phải nhìn cái cách bọn nó chơi rất là khó chịu. thẳng ra là chơi rất ngu",1
ai tạo ra gem đb thế này gỡ mẹ ik nhìn ngứa mắt,1
tui nói thật ne mấy đứa nào mà nó đánh giá 1 s là mấy đứa đó chưa tải xog mấy cái phần mềm trong game từ đồ hoạ trở lên,5
hay rất hay,5
"cho game 1 sao vì cho ghép team ngu, mới thoát 1 phút tính afk game rác",1
game nhìu lỗi quá chơi cứ bị lỗi khó chịu quá,3
hay quá,5
ghép trận như cái cc,1
"Game càng ngày càng chán hồi trc chs thì rất mượt rất bthg bây h gặp toàn hack lại còn bị văng game liên tục, mik chs trên cả máy realme và xsmax đều bị văng 1 2 lần mỗi trận, rất ảnh hưởng tâm trạng chs. Khuyên mng phải có máy đời mới cao cao chút ms có thể chs mượt đc",1
t cay verrra,1
Đm Garena mất uy tín vl ghép cho tao toàn thg ngu,1
ghép trận như cái cc,1
"game bắt đầu ghép team lệch trình như bên mlbb, nếu kh khắc phục thì thực sự ảnh hưởng đến người chơi",1
👍,5
hệ thống ghép team chán vc lúc nào củng có thằng ngu nhất là lúc từ bản cập nhật sau tết đến giờ,2
k vào đc game ln,1
"hở tí là chuỗi thua đồng đội đánh thì dở tố cáo chẳng đc, 1 sao",1
ghép trận mà chơi thuật toán với người chơi là tao cho 1 sao,5
"chả hiểu cơ chế ghép trận chơi đơn gặp toàn thứ gì , giờ đống đứa afk uy tín vẫn trừ chung team vs nó cx bị trừ sao trước có vậy đâu .",2
hệ thống game ghép đội với súc vật à ???,1
game ghép trận ko đúng thua lần tàng chuỗi ko,1
hệ thống ghép trận toàn ra óc vật,1
game dễ văng kết nối lại thì chậm,1
đồng đội chó rách,1
"ghép rank 10, thua hết 10, gặp gì đâu không :))))))",1
nhiều lỗi lag quá,1
"Làm ơn, sửa lại cơ chế macth giùm, đừng có kiểu người ta thắng được vài trận cái lại cho ghép với mấy người có trình độ kém hơn. Biết bao lần thất vọng về anh Gà",3
như lol,1
game cơ chế ghép như con cc,1
"ghép toàn gặp xúc vật còn team bạn thì chơi hơn gì. Ko gặp afk thì cũng test tướng chơi ngu msf còn ra dẻ chat nhiều như số lần chết, bọn xúc vật con tr mà chơi như lol",2
game l ghép trận đồng đội ngu bỏ mẹ toàn ks game tối ưu thì kém chỉnh sửa ngày càng tồi ăn chặn hiệu ứng skin hút máu game thủ,1
hay,5
ꉂ(ˊᗜˋ*)♡,5
"một ngày của mik rất mệt mỏi, chỉ muốn chơi vài trận giải trí thôi mà,sao trận nào cx ghép những thành phần phá game vào vậy, thật sự chịu hết nổi rồi",4
game súc vật toàn trẻ trâu hệ thống ghép trận lệch tem mình rõ ngu,1
"Game cũng hay nhung một ván ít vàng quá. Sửa thêm: t full tướng lâu r :)), h sao cx đc",5
ghép team chán,1
game hay,5
game như bịa lúc cho ghé với người phá rừng có khi là afk game như bịa bò,1
game raccccccc,1
game lỗi thua mvp mà cx trừ thắng mvp k cộng lỗi ???,1
game như đb,1
hay,5
tại sao chơi game không làm gì cả cũng bị cấm 3 ngày là sao ạ ?,4
game càng ngày càng xuống dốc wifi đầy cây mà lag như ở trên núi,1
"chơi hay rất hay ,nhưng ko hiểu sao máy mạnh ,mạng mạnh lại chuẩn bị vào trận là văng gảm ko hiểu tại sao",1
game ghép team như bịa đã vậy còn lag nx k bt nói j,1
ghép trận như qq,1
"game ghép trận team bn toàn chs như tuyển thủ,game lag,nó bảo mạng yếu trg khi đó 4 cục mạng sáng",1
ghép cho team súc vật còn team kia toàn người chơi giỏi,1
càng ngày càng tệ ghép trận cho 4 cục tả đánh trận nào cũng thua toàn xúc vật,1
qua vui,5
"Đell hiểu cao thủ ghép ghép trúng bạch kim, t cũng nể đứa nào làm sao hệ thống ghép",1
Ccmm cơ chế xếp hạng game như tài xỉu 👎👎,1
đồng đội afk cả trận thua vẫn trừ sao,1
ghép team tật,1
cũng ổn lâu lâu chơi giải trí cũng vui,4
"game ngày càng chán vì chuyển giao nhiều,làm skin ngày càng xấu mất đi sự sáng tạo,còn cả vụ yue nàng tiên gạo với cny ko thể chấp nhận đc(tuy skin yue gỡ r thay vì chỉnh sửa ngoại hình thì gà xóa mẹ luôn lm t tối ngày cày vì thấy skin đẹp)",1
ngon đếy=)),5
bị game trù như chó cay,1
ghép toàn gặp team đánh đúng chán đời nên thua cay quá xóa game,1
thắng được 1 ván thì 3 ván thua luôn,1
chán k buồn nói,1
"trời ơi cái game sv óc chó, ghép team j toàn mấy đứa nguuu chuỗi thua gánh k nổi làm game đ tử tế dc",1
liên quân là game rác không nên chơi,1
"toàn mấy đứa kid , afk",1
"game chỉ muốn dữ người chs tiếp tục đánh mà ko quan tâm họ thắng hay thua chỉ cần để bạn đánh cố thêm 1 vài trận, thua từ 3-5 thì mới đc 1 trận thắng",1
hay,5
ko bt chơi,1
game hay,5
ghép rank cong cho mấy thk phá,1
game như củ cải đồng đội dánh như đb,1
ghép trận như củ lon,1
game chán ghép toàn mấy thk không biết chơi vô game nó phá,1
chs thì lag đồng đội thì như qq,1
Hay tốt cái j cũng đẹp trừ map,3
code game hay ghép team đánh 44 sao xuống 26sao game lm rất nguuu xứng đáng sập game,1
game h tự nhiên mất tiến chơi méo đc gì,1
game l để ảnh bthuong cx bị tố cáo?,1
game ko cân bằng ghép toàn tem sv tướng thì ko cân bằng,1
ghép toàn phá game mất cân bằng vãi ra game ngày càng quá tệ ghép hạng thì toàn lũ phá game cân bằng tướng thì chẳng ra gì con mạnh con yếu không cần kỉ năng chỉ cần spam là có mạng còn tướng cần kĩ năng múa mỏi tay mà nó chỉ cần spam cũng ngang mình ghép thì toàn phá ad thì lên đầu cúng mạng sp như máy bảo đổi phụ trợ không đổi cả trận không bật phụ trợ top thì cúng mạng cho đội nó xanh rừng thì không ăn rồng không ăn caesar bài đánh giá này chứa chắc nhà phát hành đọc,1
"gà ghép trận j k , không cân sức địch mạnh hơn phe ta yếu k ,ghép 10 trận toang gặp thứ phá game không .",1
"Khinh thường người chơi Việt, Chaini niu year, skin Yue, lỗi nạp UID khoá acc không giải quyết cho ngta, chỉ khi bị làm lớn chuyện mới đi giải quyết. CNY thì im luôn không xem người chơi Việt ra gì, bị chửi cho mới xin lỗi cho có, không bồi thường gì cả. Quá tồi tệ, game ở VN sự kiện bị cắt xén, outfit thì diếm, nhìn qua bên Thái, Đài đồ mà học hỏi giùm. Bớt xem thường người chơi.",1
game toàn sv,1
hệ thống tố cáo nhu b rõ ràng thằng đó ko chs mà ko tố cáo dc trong khi đó tao chs mà vẫn bị tố cáo là thái độ tiêu cực game đưa ra hệ thống như l.ồ.n,1
"Game càng lúc càng rác ghép toàn gì đâu không cao thủ chục mùa mà toàn ghép với mấy thằng ku chưa cao thủ hoặc mới cao thủ 1 2 mùa, MVP hạ hơn mười mấy mạng mà vẫn bị trừ sao cò mấy thằng phá game thì bị trừ 3-7 uy tín vl game làm ăn gì vậy. Lỡ nạp vô game rồi muốn bỏ thì khó mà muốn gắn bó thì không thể.",1
hay,5
ghép éo công bằng,1
game cc gì mà vào tải đến 78% xong rồi im rui không vô được là sao,1
Toàn chơi cùng mấy thằng nguuu,2
ngonnn,5
56% ko thắng nổi 3 ván,1
"Toàn afk , nhieu thua choi oc cho, chui LÁO",1
"game ngày càng rác, ghép trận toàn bị chênh lệch hạng cao thủ 30 sao nhưng lại gặp 2 ta skin thì bị cắt hiệu ứng map thì xấu nói chung ngày càng giống lửa chùa chủ yếu bào tiền chứ về chất lượng chơi thì ngày càng đi xuống khuyên anh em nên cân nhắc trước khi chơi",1
ghép team ngu team địch thì rõ hay,1
hay,5
Game hay,5
không có j để chê luôn 5 sao là đúng aaaaaaa,5
thắng nhiều là bị ghép mấy thg cao team toàn mấy thg ngu bắt gánh team thì mới đc,1
game hay +1 s20 ultra bị đập vì con sv aya👍,5
"Mong game sẽ có nhiều thay đổi trong năm nay chơi rất dễ văng , mới chơi nhưng cảm thấy chất lượng ko tốt !",1
vì nó lag nên dễ văn game mà kúc đó trong trận mà bị văn ra thì trừ uy tín với lại tôi không muốn bật chế độ 4g vì máy tôi không còn tiền,2
"nói j thì nói game vẫn rất ổn, có đôi khi ko hài lòng nhưng game cũng bt lắng nghe người chơi. Mong game sẽ phát triển mạnh mẽ hơn trong tương lai .",5
e cảm thấy game giờ đánh nhanh Quá e đề nghị nhà phát làm lại tất cả bình thường trở lại cơ chế đẩy trụ như cũ và bỏ luôn ván lướt đi ạ e cảm ơn nhà. phát triển e chúc nhà phát hành game luôn mạnh khỏe để đổi mới nhiều trang phục Việt lên một tầm cao mới ạ e xin nha phát triển giúp đỡ trong việc đăng nhập để vào game cho dễ hơn ạ e đề nghị nhà phát triển xắp xếp lại cho cân bằng trong game chiến game đi chứ ghép toàn một. bên toàn người đánh giỏi một bên ko biết đánh e xin cảm ơn,2
1/7/2 thì mvp trong khi t 3/1/2 kh mvp quá vô lí tố cáo thì kh bị trừ,3
hay,5
game rất vui mà con govera khó chịu vô cùng,1
ok,4
ok,5
tốt,5
sao vô game hok dc,1
Lag ko vô đc,1
cc Garena liên quan tao xóa luôn rồi 10 trận liên tục gặp toàn sv mướn tao đell chơi,1
game xếp trận như lol,1
ghép kiểu gì vậy 9 chuổi thua ghép toàn gì đâu không có 1 2 ngươi biết chơi còn nhiều không biết mà có đứa 0 8 3 tố cáo không trừ cái gì mà chiêu unti marja chưa đến 10 giây hồi rồi,1
lag lỗi game đầy hack tràn lan riết tụi nó bảo game 3 nước đúng thật chả sai,1
game hay phết,5
Ghép trận quá khốn nạn gặp thêm lỗi lock fps (nghĩ game.),1
vui dễ chơi và ghép đồng đội mạnh😁,5
ghép trận như bùi lỗi sv hack map thì lắm,1
game toàn hack toàn ghép trânh với mấy thg ngu,1
"game sv , Happy New Year cny cái l , tưởng tặng skin là nghĩ ổn à , game cho' rách , -1 người chơi lâu năm",1
game hay,5
hay,5
"bao giờ mới khắc chế phá game loại này là sp cố ý ko giao tranh,ks kill của team hỗ trợ vài mạng ,nhưng ko có ích cho Team ,hay bỏ ad gây ức chế cho team nhưng ko thể tố cáo vì nó MVP mong được rep",1
game ghép trận quá ngiu quá nhiều sv lỗi hack map,1
game ghép trận quá ngiu quá nhiều sv hack map lỗi game,1
game như qq kc mà ghép với mấy thằng đại cao thủ con bên mình thì toàn sv chơi game,1
hơi lag,5
mở bán skin lag chetme ra tàn bị out game mà còn skin có chất lượng cao má out game 4 5 lần,1
gem hay,5
gép team toàn gặp team gà,4
game cho chó chs a,1
gema hayyy,5
đi đơn toàn svat,1
hay,5
dù thua nhưng thắng nhiều,5
hay,5
game hayyyy,5
yêu cầu tăng sức mạnh cho con flo,3
chơi hay hơi lag nhưng hay và chỉ cần sử dụng đúng cách thì thắng liên tiếp luôn💯💯❤️,5
xếp đội hik ccc,1
rác rưởi,1
game rác,1
vá đả,5
cũng được nhưng đồng đội quá chơi ngu,5
"Nhìn lại cách ghép trận xem, toàn ghép với mấy đứa phá game, tố cáo thì chúng nó không bị gì còn mình thì tuột hạng vèo vèo",1
"Game lon, ghép trận như con cak, từ nay về sau tao del cho 5 sao nữa",1
Ko khuyến khích ae tải Game còn chẳng bật đc 120 fps đồ họa thì tệ hại còn ghép trận thì quá mất cân bằng nói chung ko bằng đc 1 góc nào cũng những game moba khác,1
"Game hay nha mn, đáng để tải về chơi. Game đồ hoạ ổn, skin đẹp, hoạt hoạ rất tốt và game có hệ thống tố cáo như loằn👍",1
liên quân chơi rất hay,5
nói chung là ko,4
vô game mạng bình thường mà đứng game?,1
game chứa đến 14gb là chiếm hết gb đt,1
game như lol chơi đc chuỗi thắng 3 thì ghép cho team choi thua mẹ trăm trận gamelolllllllllllllllll,1
game rác,1
ko hay,1
LoVe AoV ❤️,5
hay,5
quá ức chế quá áp lực đội hình ko hoàn chỉnh tranh lane rất nhiều,1
rat hay,5
đẹp,5
game hay,5
ghép rank toàn thứ gì đâu không lệch hạng buff bẩn ghép toàn thứ ngu rank thắng thì dell cộng sao đúng rác ko nên tải nha ae,1
sửa lại cách ghép trận đối thủ :>,5
Tôi thấy đây là tựa game dành cho tôi để giải trí tôi yên game này,5
hay nhiều skin đẹp,5
toàn tk phá game,1
cũng cũng,4
Lắc quá,1
chs cũng hay nhưng nếu máy ít dung lượng thì mỗi lần cập nhập thì xóa đi r tải lại chứ cập nhập hao dung lượng lắm tui để cập nhập 2 hay 3 lần gì mà lên tận 13gb,4
"cân bằng game rất tệ , ghép rank thì toàn gặp phá game với cheat",1
không đăng nhập được fb,1
game rất hay,1
"Lag vc, tối ưu thì kém mà mấy vấn đề lặt vặt thì fix rõ nhanh",3
ước gì game hỗ trợ trên máy tính,5
