epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,tas_strict_p,tas_strict_r,tas_strict_f1,tas_relaxed_p,tas_relaxed_r,tas_relaxed_f1,span_p,span_r,span_f1,sent_matched_p,sent_matched_r,sent_matched_f1,sent_goldspan_p,sent_goldspan_r,sent_goldspan_f1,global_p,global_r,global_f1,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
11,phase2,1.9641,1.3931,0.1705,0.4475,0.8616,0.3605,1.0540,1.4083,0.2072,0.0000,0.0000,0.6904,0.7384,0.7136,0.7083,0.7576,0.7321,0.8018,0.8576,0.8288,0.7987,0.8235,0.8089,0.7773,0.8092,0.7890,0.8063,0.8085,0.8070,best,0.8847,0.7227,0.7238,0.8879,0.8958,0.8306,0.9270,0.8089,0.7547,0.7233,0.8400,0.8490,0.8042,0.8539,76,59,13,148,95,88,19,202,46,53,21,120,75,94,40,209,57,54,20,131,40,91,29,160,60,55,16,131,72,61,15,148,83,98,21,202,48,58,14,120,77,104,28,209,53,59,19,131,49,88,23,160,59,61,11,131
12,phase2,1.7773,1.2286,0.1502,0.4205,0.9737,0.3526,1.0878,1.3652,0.2074,0.0000,0.0000,0.6912,0.7360,0.7129,0.7070,0.7528,0.7292,0.8069,0.8592,0.8322,0.7944,0.8173,0.8038,0.7803,0.8128,0.7922,0.8128,0.8163,0.8142,,0.8875,0.7217,0.7319,0.8966,0.8990,0.8407,0.9191,0.8088,0.7431,0.7187,0.8296,0.8365,0.8083,0.8535,75,60,13,148,93,90,18,201,49,54,20,123,75,93,42,210,58,52,20,130,40,91,29,160,59,55,16,130,71,62,15,148,82,99,20,201,49,58,16,123,77,105,28,210,52,59,19,130,48,88,24,160,58,61,11,130
13,phase2,1.5784,1.0864,0.1418,0.4064,0.9992,0.3531,1.0565,1.4109,0.2064,0.0000,0.0000,0.6922,0.7360,0.7135,0.7065,0.7512,0.7282,0.8074,0.8584,0.8321,0.7963,0.8182,0.8054,0.7778,0.8126,0.7902,0.8156,0.8194,0.8170,,0.8847,0.7181,0.7233,0.9028,0.9021,0.8375,0.9299,0.7956,0.7387,0.6906,0.8449,0.8405,0.8390,0.8415,73,60,15,148,93,89,18,200,48,52,20,120,76,94,40,210,57,51,22,130,42,92,26,160,58,55,17,130,71,62,15,148,82,98,20,200,48,56,16,120,78,104,28,210,52,59,19,130,48,87,25,160,58,61,11,130
14,phase2,1.4901,1.0061,0.1304,0.3874,1.0467,0.3552,1.0893,1.3756,0.2054,0.0000,0.0000,0.6899,0.7352,0.7119,0.7072,0.7536,0.7297,0.8033,0.8560,0.8288,0.7964,0.8187,0.8058,0.7759,0.8059,0.7871,0.8152,0.8173,0.8161,,0.8903,0.7145,0.7125,0.9032,0.8958,0.8343,0.9225,0.7927,0.7578,0.6971,0.8273,0.8190,0.8555,0.8415,74,62,12,148,90,89,22,201,46,54,20,120,74,97,40,211,58,51,22,131,42,91,26,159,58,55,17,130,71,62,15,148,82,98,21,201,48,57,15,120,78,105,28,211,53,59,19,131,48,86,25,159,58,61,11,130
15,phase2,1.3159,0.8618,0.1256,0.3738,1.1007,0.3492,1.0642,1.3986,0.2070,0.0000,0.0000,0.6984,0.7392,0.7182,0.7181,0.7600,0.7384,0.8095,0.8568,0.8325,0.8027,0.8214,0.8107,0.7857,0.8124,0.7962,0.8149,0.8166,0.8156,best,0.8875,0.7161,0.7215,0.9013,0.8958,0.8436,0.9338,0.7886,0.7701,0.6848,0.8378,0.8198,0.8479,0.8799,75,60,13,148,90,90,20,200,47,54,18,119,76,98,39,213,59,51,22,132,43,89,28,160,60,57,14,131,71,62,15,148,82,97,21,200,48,56,15,119,78,107,28,213,54,59,19,132,48,87,25,160,59,61,11,131
16,phase2,1.2494,0.8073,0.1106,0.3621,1.1475,0.3482,1.0881,1.3465,0.2099,0.0000,0.0000,0.7008,0.7384,0.7191,0.7160,0.7544,0.7347,0.8170,0.8608,0.8383,0.7973,0.8161,0.8054,0.7845,0.8121,0.7954,0.8174,0.8187,0.8180,,0.8994,0.7286,0.7358,0.9013,0.8850,0.8459,0.9412,0.7837,0.7697,0.6882,0.8087,0.8282,0.8569,0.8666,73,61,13,147,90,89,20,199,49,55,18,122,75,100,37,212,59,50,22,131,41,91,27,159,59,57,15,131,71,61,15,147,81,97,21,199,50,57,15,122,78,106,28,212,54,59,18,131,48,87,24,159,58,62,11,131
17,phase2,1.1046,0.6923,0.1060,0.3494,1.2386,0.3564,1.0714,1.3716,0.2093,0.0000,0.0000,0.7094,0.7480,0.7282,0.7253,0.7648,0.7445,0.8202,0.8648,0.8419,0.8071,0.8239,0.8146,0.7899,0.8158,0.8004,0.8268,0.8278,0.8273,best,0.9057,0.7276,0.7375,0.9017,0.9053,0.8547,0.9338,0.8034,0.7801,0.6888,0.8178,0.8375,0.8641,0.8799,73,61,14,148,90,89,19,198,49,56,18,123,77,101,37,215,59,51,21,131,42,92,27,161,59,58,14,131,72,61,15,148,81,96,21,198,50,58,15,123,80,107,28,215,54,59,18,131,49,87,25,161,58,62,11,131
18,phase2,1.0503,0.6685,0.0967,0.3371,1.2727,0.3614,1.0844,1.3736,0.2067,0.0000,0.0000,0.7082,0.7456,0.7264,0.7211,0.7592,0.7397,0.8245,0.8680,0.8457,0.8048,0.8197,0.8115,0.7923,0.8146,0.8017,0.8190,0.8203,0.8196,,0.8987,0.7236,0.7547,0.9099,0.9046,0.8508,0.9594,0.7976,0.7761,0.7015,0.8047,0.8471,0.8697,0.8661,71,61,14,146,88,92,18,198,49,57,19,125,78,99,36,213,60,51,20,131,43,90,27,160,58,57,15,130,71,60,15,146,80,97,21,198,50,59,16,125,79,106,28,213,54,59,18,131,49,86,25,160,58,61,11,130
19,phase2,0.9438,0.5851,0.0908,0.3255,1.4409,0.3523,1.0823,1.3476,0.2109,0.0000,0.0000,0.7122,0.7504,0.7308,0.7251,0.7640,0.7441,0.8231,0.8672,0.8446,0.8129,0.8269,0.8193,0.7970,0.8176,0.8059,0.8212,0.8207,0.8209,,0.9108,0.7236,0.7539,0.9009,0.9110,0.8438,0.9559,0.8117,0.7930,0.7173,0.8054,0.8415,0.8699,0.8794,74,60,13,147,88,91,19,198,50,59,17,126,77,98,36,211,59,51,19,129,43,91,27,161,59,57,14,130,71,61,15,147,81,96,21,198,50,60,16,126,79,105,27,211,53,59,17,129,49,87,25,161,58,61,11,130
20,phase2,0.8523,0.5299,0.0824,0.3164,1.4566,0.3631,1.0669,1.3525,0.2133,0.0000,0.0000,0.7176,0.7520,0.7344,0.7298,0.7648,0.7469,0.8298,0.8696,0.8492,0.8107,0.8270,0.8179,0.7924,0.8145,0.8017,0.8280,0.8268,0.8274,best,0.9108,0.7226,0.7586,0.9052,0.9209,0.8571,0.9597,0.8117,0.7887,0.7173,0.8148,0.8375,0.8635,0.8606,74,60,13,147,87,90,20,197,50,59,17,126,77,97,37,211,57,52,20,129,42,92,29,163,60,58,13,131,71,61,15,147,80,96,21,197,50,60,16,126,79,105,27,211,53,59,17,129,49,88,26,163,59,61,11,131
21,phase2,0.8283,0.5097,0.0757,0.3055,1.3074,0.3275,1.0775,1.3642,0.2098,0.0000,0.0000,0.7216,0.7568,0.7388,0.7323,0.7680,0.7497,0.8307,0.8712,0.8504,0.8173,0.8307,0.8234,0.7987,0.8174,0.8069,0.8207,0.8210,0.8208,best,0.9108,0.7263,0.7562,0.9071,0.9181,0.8619,0.9597,0.8303,0.7848,0.7231,0.8200,0.8392,0.8702,0.8745,73,60,14,147,84,94,19,197,49,60,17,126,78,97,36,211,56,52,22,130,42,92,28,162,60,59,12,131,71,61,15,147,79,96,22,197,50,60,16,126,79,105,27,211,53,59,18,130,49,87,26,162,59,61,11,131
22,phase2,0.7585,0.4433,0.0721,0.2966,1.3179,0.3295,1.0783,1.3457,0.2121,0.0000,0.0000,0.7176,0.7520,0.7344,0.7290,0.7640,0.7461,0.8290,0.8688,0.8484,0.8111,0.8288,0.8190,0.7981,0.8182,0.8068,0.8257,0.8258,0.8257,,0.9108,0.7239,0.7539,0.9048,0.9039,0.8674,0.9597,0.8307,0.7922,0.7080,0.8233,0.8188,0.8704,0.8606,72,61,14,147,84,93,19,196,48,59,19,126,77,97,36,210,56,51,22,129,42,93,28,163,59,59,13,131,71,61,15,147,79,96,21,196,50,60,16,126,79,104,27,210,53,59,17,129,49,88,26,163,59,61,11,131
23,phase2,0.6661,0.4014,0.0620,0.2781,1.4619,0.3489,1.0489,1.3524,0.2168,0.0000,0.0000,0.7260,0.7608,0.7430,0.7366,0.7720,0.7539,0.8298,0.8696,0.8492,0.8254,0.8371,0.8308,0.8056,0.8208,0.8124,0.8228,0.8235,0.8231,best,0.9108,0.7299,0.7649,0.9028,0.9039,0.8564,0.9597,0.8483,0.7969,0.7349,0.8318,0.8340,0.8771,0.8745,71,61,15,147,87,93,18,198,50,59,18,127,75,99,35,209,56,52,21,129,42,92,27,161,60,59,12,131,71,61,15,147,80,96,22,198,50,60,17,127,78,104,27,209,53,59,17,129,49,86,26,161,59,61,11,131
24,phase2,0.6291,0.3675,0.0592,0.2753,1.4732,0.3391,1.0547,1.3488,0.2162,0.0000,0.0000,0.7192,0.7560,0.7371,0.7298,0.7672,0.7480,0.8272,0.8696,0.8479,0.8157,0.8278,0.8213,0.8017,0.8168,0.8085,0.8235,0.8232,0.8234,,0.9079,0.7289,0.7593,0.9024,0.9039,0.8571,0.9597,0.8483,0.7766,0.7200,0.8081,0.8375,0.8781,0.8745,71,61,15,147,83,97,17,197,49,59,20,128,77,97,34,208,57,52,20,129,43,92,27,162,60,59,12,131,71,61,15,147,80,97,20,197,51,60,17,128,78,103,27,208,53,59,17,129,50,86,26,162,59,61,11,131
25,phase2,0.5758,0.3273,0.0547,0.2684,1.5909,0.3264,1.0429,1.3393,0.2198,0.0000,0.0000,0.7212,0.7552,0.7378,0.7326,0.7672,0.7495,0.8281,0.8672,0.8472,0.8200,0.8265,0.8231,0.8037,0.8141,0.8086,0.8269,0.8261,0.8264,,0.9079,0.7279,0.7453,0.9067,0.9007,0.8619,0.9597,0.8432,0.7864,0.7110,0.8143,0.8378,0.8761,0.8745,70,62,15,147,85,94,17,196,49,61,15,125,78,98,33,209,57,53,20,130,43,93,26,162,60,59,12,131,71,61,15,147,81,94,21,196,49,60,16,125,79,103,27,209,53,60,17,130,50,87,25,162,59,61,11,131
26,phase2,0.5780,0.3254,0.0493,0.2636,1.6434,0.3304,1.0703,1.3279,0.2171,0.0000,0.0000,0.7278,0.7592,0.7431,0.7393,0.7712,0.7549,0.8351,0.8712,0.8528,0.8190,0.8305,0.8244,0.8038,0.8158,0.8094,0.8284,0.8282,0.8283,best,0.9114,0.7293,0.7649,0.9067,0.9039,0.8753,0.9597,0.8339,0.7897,0.7055,0.8267,0.8378,0.8765,0.8745,70,62,16,148,85,93,17,195,49,63,16,128,76,97,36,209,57,53,20,130,43,95,26,164,60,59,12,131,72,61,15,148,80,94,21,195,49,63,16,128,79,103,27,209,53,60,17,130,50,89,25,164,59,61,11,131
27,phase2,0.5078,0.2867,0.0459,0.2557,1.6775,0.3366,1.0292,1.3204,0.2252,0.0000,0.0000,0.7296,0.7640,0.7464,0.7395,0.7744,0.7565,0.8365,0.8760,0.8558,0.8196,0.8260,0.8227,0.8052,0.8118,0.8084,0.8339,0.8358,0.8347,best,0.9114,0.7283,0.7788,0.9067,0.9110,0.8798,0.9597,0.8339,0.7974,0.6919,0.8256,0.8579,0.8577,0.8801,70,62,16,148,85,94,16,195,48,63,18,129,77,99,33,209,59,53,18,130,44,97,26,167,61,58,12,131,72,61,15,148,80,94,21,195,50,62,17,129,79,103,27,209,53,60,17,130,51,91,25,167,59,61,11,131
28,phase2,0.4774,0.2594,0.0410,0.2451,1.6831,0.3330,1.0494,1.3410,0.2188,0.0000,0.0000,0.7294,0.7656,0.7471,0.7409,0.7776,0.7588,0.8346,0.8760,0.8548,0.8215,0.8238,0.8227,0.8119,0.8160,0.8139,0.8352,0.8371,0.8359,best,0.9114,0.7229,0.7764,0.9087,0.9110,0.8822,0.9597,0.8260,0.7937,0.6924,0.8379,0.8579,0.8467,0.8857,72,62,14,148,82,97,17,196,48,64,18,130,78,100,31,209,59,53,18,130,45,97,25,167,62,57,12,131,72,61,15,148,80,95,21,196,50,63,17,130,79,103,27,209,53,60,17,130,51,91,25,167,59,61,11,131
29,phase2,0.4827,0.2617,0.0407,0.2339,1.6652,0.3331,1.0594,1.3378,0.2177,0.0000,0.0000,0.7303,0.7648,0.7472,0.7410,0.7760,0.7581,0.8373,0.8768,0.8566,0.8191,0.8225,0.8208,0.8137,0.8143,0.8140,0.8342,0.8362,0.8350,,0.9114,0.7253,0.7764,0.9107,0.9104,0.8901,0.9597,0.8363,0.8033,0.6852,0.8193,0.8576,0.8510,0.8857,72,63,13,148,83,95,18,196,47,64,19,130,79,101,29,209,59,52,18,129,44,97,27,168,62,57,12,131,72,61,15,148,80,95,21,196,50,63,17,130,79,103,27,209,53,59,17,129,51,92,25,168,59,61,11,131
30,phase2,0.4287,0.2330,0.0364,0.2369,1.7261,0.3290,1.0427,1.2876,0.2279,0.0000,0.0000,0.7326,0.7672,0.7495,0.7426,0.7776,0.7597,0.8388,0.8784,0.8581,0.8222,0.8215,0.8218,0.8181,0.8179,0.8179,0.8342,0.8362,0.8350,best,0.9114,0.7266,0.7840,0.9107,0.9176,0.8871,0.9597,0.8363,0.7975,0.6884,0.8286,0.8576,0.8488,0.8857,72,63,13,148,84,96,16,196,49,65,18,132,79,100,30,209,59,52,18,129,46,96,25,167,62,57,12,131,72,61,15,148,80,95,21,196,52,63,17,132,79,103,27,209,53,59,17,129,51,91,25,167,59,61,11,131
31,phase2,0.4133,0.2155,0.0342,0.2298,1.7699,0.3302,1.0306,1.3244,0.2255,0.0000,0.0000,0.7330,0.7664,0.7493,0.7437,0.7776,0.7603,0.8379,0.8768,0.8569,0.8230,0.8212,0.8221,0.8228,0.8196,0.8211,0.8319,0.8327,0.8321,best,0.9143,0.7219,0.7840,0.9127,0.9176,0.8822,0.9562,0.8363,0.7828,0.6884,0.8286,0.8576,0.8559,0.9005,72,63,13,148,83,96,16,195,49,65,18,132,79,100,30,209,59,52,18,129,46,97,24,167,62,58,11,131,72,61,15,148,79,96,20,195,52,63,17,132,79,103,27,209,53,59,17,129,51,91,25,167,59,61,11,131
32,phase2,0.4046,0.2081,0.0333,0.2233,1.7170,0.3290,1.0404,1.3185,0.2245,0.0000,0.0000,0.7339,0.7656,0.7494,0.7431,0.7752,0.7588,0.8391,0.8760,0.8571,0.8228,0.8209,0.8218,0.8187,0.8183,0.8184,0.8317,0.8327,0.8320,,0.9143,0.7199,0.7815,0.9127,0.9214,0.8846,0.9562,0.8264,0.7894,0.6935,0.8286,0.8479,0.8559,0.9005,71,63,14,148,83,94,15,192,48,66,17,131,79,100,30,209,59,52,19,130,46,97,24,167,62,58,11,131,72,61,15,148,79,93,20,192,51,63,17,131,79,103,27,209,53,60,17,130,51,91,25,167,59,61,11,131
33,phase2,0.3794,0.1947,0.0287,0.2171,1.8554,0.3290,1.0340,1.2928,0.2295,0.0000,0.0000,0.7349,0.7672,0.7507,0.7456,0.7784,0.7616,0.8384,0.8760,0.8568,0.8262,0.8241,0.8252,0.8228,0.8222,0.8225,0.8332,0.8338,0.8334,best,0.9172,0.7209,0.7815,0.9127,0.9143,0.8901,0.9489,0.8264,0.8022,0.6879,0.8379,0.8479,0.8559,0.9005,71,63,14,148,81,99,14,194,49,65,17,131,78,100,31,209,59,52,19,130,46,97,24,167,62,58,11,131,72,61,15,148,79,95,20,194,51,63,17,131,79,103,27,209,53,60,17,130,51,91,25,167,59,61,11,131
34,phase2,0.3361,0.1769,0.0272,0.2184,1.8664,0.3320,1.0560,1.3077,0.2231,0.0000,0.0000,0.7339,0.7680,0.7506,0.7454,0.7800,0.7623,0.8364,0.8752,0.8554,0.8295,0.8274,0.8285,0.8223,0.8207,0.8215,0.8297,0.8298,0.8295,best,0.9172,0.7159,0.7791,0.9127,0.9143,0.8901,0.9489,0.8439,0.8055,0.6953,0.8379,0.8479,0.8561,0.8949,70,63,15,148,80,99,14,193,50,65,16,131,78,100,31,209,59,52,19,130,46,98,24,168,63,57,11,131,72,61,15,148,79,94,20,193,51,63,17,131,79,103,27,209,53,60,17,130,51,92,25,168,59,61,11,131
35,phase2,0.3195,0.1610,0.0234,0.2087,1.8871,0.3204,1.0498,1.2688,0.2312,0.0000,0.0000,0.7370,0.7712,0.7537,0.7477,0.7824,0.7647,0.8373,0.8768,0.8566,0.8327,0.8268,0.8296,0.8242,0.8197,0.8218,0.8313,0.8307,0.8307,best,0.9172,0.7219,0.7840,0.9107,0.9143,0.8877,0.9489,0.8439,0.8055,0.7042,0.8324,0.8479,0.8561,0.9005,70,63,15,148,80,99,14,193,50,68,14,132,77,102,30,209,59,52,19,130,46,98,24,168,62,58,11,131,72,61,15,148,79,94,20,193,51,64,17,132,79,103,27,209,53,60,17,130,51,92,25,168,59,61,11,131
36,phase2,0.3168,0.1596,0.0254,0.2047,1.9525,0.3070,1.0539,1.3035,0.2252,0.0000,0.0000,0.7351,0.7680,0.7512,0.7458,0.7792,0.7621,0.8384,0.8760,0.8568,0.8310,0.8218,0.8261,0.8262,0.8198,0.8228,0.8299,0.8298,0.8296,,0.9172,0.7222,0.7778,0.9130,0.9143,0.8901,0.9489,0.8439,0.8017,0.7022,0.8171,0.8479,0.8598,0.9005,70,63,15,148,80,98,14,192,50,67,14,131,79,102,29,210,59,52,19,130,46,99,23,168,62,58,11,131,72,61,15,148,79,93,20,192,51,63,17,131,79,103,28,210,53,60,17,130,51,92,25,168,59,61,11,131
