epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,tas_strict_p,tas_strict_r,tas_strict_f1,tas_relaxed_p,tas_relaxed_r,tas_relaxed_f1,span_p,span_r,span_f1,sent_matched_p,sent_matched_r,sent_matched_f1,sent_goldspan_p,sent_goldspan_r,sent_goldspan_f1,global_p,global_r,global_f1,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
11,phase2,1.9877,1.2896,0.1589,0.4219,0.2668,0.1276,1.1036,1.3827,0.2072,0.1034,0.1970,0.6896,0.7376,0.7128,0.7038,0.7528,0.7275,0.8003,0.8560,0.8272,0.7966,0.8103,0.8027,0.7819,0.7964,0.7883,0.8080,0.8119,0.8094,best,0.8704,0.7319,0.7120,0.8989,0.8927,0.8128,0.9270,0.7934,0.7326,0.7063,0.8247,0.8075,0.8264,0.8720,76,59,12,147,92,95,16,203,47,56,11,114,76,96,38,210,54,54,22,130,42,87,30,159,57,58,15,130,71,61,15,147,81,101,21,203,46,56,12,114,78,104,28,210,52,59,19,130,48,87,24,159,58,61,11,130
12,phase2,1.9336,1.2526,0.1528,0.4041,0.2600,0.1213,1.1142,1.3967,0.2017,0.1032,0.1966,0.6987,0.7440,0.7207,0.7115,0.7576,0.7338,0.8099,0.8624,0.8353,0.7963,0.8163,0.8048,0.7845,0.8057,0.7933,0.8082,0.8125,0.8099,best,0.8937,0.7309,0.7267,0.8970,0.9097,0.8257,0.9304,0.8134,0.7604,0.7016,0.8199,0.8167,0.8167,0.8720,75,60,13,148,91,92,18,201,47,57,15,119,72,97,42,211,55,55,21,131,42,89,29,160,57,58,15,130,71,62,15,148,80,100,21,201,47,59,13,119,78,105,28,211,53,59,19,131,48,88,24,160,58,61,11,130
13,phase2,1.7608,1.1371,0.1351,0.3875,0.2502,0.1204,1.0998,1.3706,0.2073,0.1045,0.1958,0.7122,0.7504,0.7308,0.7251,0.7640,0.7441,0.8162,0.8600,0.8376,0.8067,0.8272,0.8155,0.7926,0.8142,0.8016,0.8124,0.8156,0.8137,best,0.8910,0.7316,0.7226,0.9009,0.9123,0.8356,0.9338,0.8319,0.7802,0.7236,0.8386,0.8218,0.8171,0.8647,74,60,14,148,88,93,18,199,48,57,13,118,70,102,39,211,53,55,22,130,43,89,30,162,56,57,16,129,71,62,15,148,79,99,21,199,46,59,13,118,78,105,28,211,53,59,18,130,48,90,24,162,57,61,11,129
14,phase2,1.6676,1.0385,0.1260,0.3718,0.2388,0.1143,1.1221,1.3755,0.2083,0.1045,0.1913,0.7127,0.7480,0.7299,0.7279,0.7640,0.7455,0.8216,0.8624,0.8415,0.8045,0.8214,0.8120,0.7943,0.8122,0.8021,0.8104,0.8130,0.8116,best,0.8966,0.7339,0.7325,0.8985,0.9225,0.8415,0.9373,0.8134,0.7772,0.7025,0.8379,0.8228,0.8280,0.8583,75,60,13,148,89,93,18,200,49,57,15,121,70,103,37,210,56,52,24,132,44,89,29,162,57,58,14,129,71,62,15,148,81,98,21,200,48,59,14,121,78,104,28,210,55,59,18,132,48,89,25,162,57,61,11,129
15,phase2,1.3471,0.8291,0.1141,0.3473,0.2308,0.1061,1.0834,1.3767,0.2079,0.1055,0.1969,0.7139,0.7544,0.7336,0.7282,0.7696,0.7483,0.8213,0.8680,0.8440,0.8116,0.8230,0.8168,0.7973,0.8134,0.8045,0.8167,0.8196,0.8179,best,0.9028,0.7309,0.7405,0.9032,0.9193,0.8438,0.9446,0.7931,0.7735,0.7217,0.8430,0.8364,0.8366,0.8583,75,61,12,148,90,92,18,200,52,61,11,124,72,102,38,212,56,53,24,133,45,89,28,162,57,58,14,129,71,62,15,148,81,98,21,200,49,60,15,124,79,105,28,212,55,59,19,133,48,89,25,162,57,61,11,129
16,phase2,1.3566,0.8103,0.1116,0.3562,0.2355,0.0985,1.1075,1.3985,0.2068,0.1055,0.1917,0.7137,0.7520,0.7324,0.7282,0.7672,0.7472,0.8231,0.8672,0.8446,0.8077,0.8232,0.8146,0.7932,0.8127,0.8016,0.8195,0.8220,0.8206,,0.9028,0.7355,0.7484,0.9032,0.9091,0.8384,0.9481,0.8134,0.7782,0.7192,0.8334,0.8305,0.8255,0.8583,75,60,13,148,91,93,18,202,50,59,13,122,70,101,41,212,57,52,24,133,45,89,26,160,57,58,14,129,71,62,15,148,81,100,21,202,49,59,14,122,79,105,28,212,55,59,19,133,48,87,25,160,57,61,11,129
17,phase2,1.1513,0.6902,0.0991,0.3348,0.2301,0.1043,1.0739,1.3505,0.2107,0.1048,0.2015,0.7179,0.7552,0.7361,0.7316,0.7696,0.7501,0.8251,0.8680,0.8460,0.8129,0.8264,0.8191,0.7986,0.8155,0.8061,0.8199,0.8220,0.8209,best,0.9085,0.7336,0.7492,0.9052,0.9123,0.8415,0.9481,0.8319,0.7772,0.7215,0.8332,0.8349,0.8379,0.8583,74,60,14,148,89,93,18,200,51,60,12,123,74,100,38,212,57,54,22,133,45,89,27,161,57,58,14,129,71,62,15,148,81,98,21,200,49,60,14,123,79,105,28,212,55,60,18,133,49,87,25,161,57,61,11,129
18,phase2,1.0783,0.6271,0.0948,0.3208,0.2202,0.0893,1.0809,1.3882,0.2109,0.1065,0.1936,0.7199,0.7568,0.7379,0.7336,0.7712,0.7520,0.8280,0.8704,0.8487,0.8108,0.8241,0.8169,0.8023,0.8159,0.8085,0.8213,0.8233,0.8222,best,0.9085,0.7368,0.7540,0.9048,0.9123,0.8462,0.9559,0.8129,0.7745,0.7198,0.8277,0.8342,0.8457,0.8646,74,61,13,148,89,95,18,202,51,61,12,124,72,100,40,212,56,54,22,132,45,89,26,160,59,58,14,131,71,62,15,148,82,99,21,202,49,60,15,124,79,106,27,212,54,60,18,132,48,87,25,160,58,62,11,131
19,phase2,1.0229,0.5889,0.0846,0.3212,0.2125,0.0829,1.1236,1.3584,0.2094,0.1054,0.1949,0.7264,0.7584,0.7421,0.7410,0.7736,0.7569,0.8291,0.8656,0.8470,0.8226,0.8344,0.8281,0.8114,0.8252,0.8177,0.8214,0.8234,0.8223,best,0.9085,0.7303,0.7516,0.9087,0.9155,0.8375,0.9559,0.8314,0.7797,0.7198,0.8327,0.8570,0.8639,0.8776,73,61,14,148,86,95,17,198,51,61,12,124,72,100,39,211,57,53,22,132,44,90,26,160,59,59,13,131,71,62,15,148,81,96,21,198,49,60,15,124,79,105,27,211,54,60,18,132,48,87,25,160,58,62,11,131
20,phase2,0.9497,0.5269,0.0757,0.3004,0.2064,0.0880,1.0917,1.3565,0.2098,0.1060,0.1981,0.7257,0.7576,0.7413,0.7402,0.7728,0.7562,0.8307,0.8672,0.8485,0.8202,0.8262,0.8230,0.8088,0.8188,0.8135,0.8136,0.8154,0.8144,,0.9085,0.7276,0.7619,0.9063,0.9258,0.8398,0.9559,0.7927,0.7724,0.7130,0.8301,0.8570,0.8732,0.8858,74,62,12,148,88,92,18,198,52,62,12,126,75,98,37,210,57,53,22,132,45,90,25,160,60,59,12,131,71,62,15,148,81,96,21,198,49,61,16,126,80,103,27,210,54,60,18,132,48,87,25,160,58,62,11,131
21,phase2,0.8516,0.4695,0.0705,0.2889,0.1948,0.0843,1.0906,1.3472,0.2133,0.1068,0.1962,0.7304,0.7608,0.7453,0.7442,0.7752,0.7594,0.8341,0.8688,0.8511,0.8231,0.8311,0.8269,0.8107,0.8220,0.8159,0.8218,0.8236,0.8226,best,0.9085,0.7289,0.7658,0.9127,0.9291,0.8421,0.9559,0.8314,0.7826,0.7051,0.8377,0.8570,0.8612,0.8857,73,61,14,148,87,92,20,199,51,62,13,126,75,100,35,210,57,53,22,132,45,91,24,160,61,58,12,131,71,62,15,148,82,96,21,199,49,61,16,126,80,103,27,210,54,60,18,132,47,88,25,160,58,62,11,131
22,phase2,0.7924,0.4216,0.0664,0.2860,0.2056,0.0782,1.0831,1.3855,0.2116,0.1102,0.1853,0.7281,0.7584,0.7429,0.7404,0.7712,0.7555,0.8326,0.8672,0.8495,0.8179,0.8255,0.8215,0.8086,0.8195,0.8136,0.8242,0.8261,0.8250,,0.9085,0.7243,0.7610,0.9150,0.9291,0.8389,0.9559,0.8034,0.7760,0.7122,0.8352,0.8698,0.8364,0.8858,72,62,14,148,87,91,19,197,51,63,12,126,73,101,36,210,56,53,23,132,45,90,23,158,60,59,12,131,71,62,15,148,81,95,21,197,49,61,16,126,80,103,27,210,54,60,18,132,47,87,24,158,58,62,11,131
23,phase2,0.7683,0.4048,0.0594,0.2669,0.1927,0.0758,1.0913,1.3903,0.2140,0.1066,0.1902,0.7341,0.7640,0.7487,0.7456,0.7760,0.7605,0.8347,0.8688,0.8514,0.8245,0.8279,0.8262,0.8169,0.8230,0.8198,0.8186,0.8216,0.8197,best,0.9143,0.7266,0.7595,0.9194,0.9291,0.8398,0.9559,0.7948,0.7760,0.7199,0.8686,0.8797,0.8164,0.8858,71,62,15,148,87,91,19,197,50,64,12,126,72,107,31,210,57,53,22,132,44,92,23,159,60,59,12,131,71,62,15,148,81,95,21,197,49,62,15,126,80,103,27,210,54,60,18,132,47,88,24,159,58,62,11,131
24,phase2,0.7054,0.3596,0.0554,0.2630,0.1931,0.0643,1.0997,1.3550,0.2170,0.1099,0.1872,0.7352,0.7664,0.7505,0.7460,0.7776,0.7615,0.8350,0.8704,0.8523,0.8283,0.8277,0.8280,0.8237,0.8239,0.8238,0.8171,0.8196,0.8181,best,0.9172,0.7273,0.7643,0.9194,0.9296,0.8389,0.9559,0.7948,0.7836,0.7218,0.8689,0.8705,0.8254,0.8858,71,62,15,148,87,93,18,198,51,64,11,126,74,105,31,210,58,53,22,133,45,91,22,158,60,59,12,131,71,62,15,148,81,96,21,198,49,62,15,126,80,103,27,210,54,60,19,133,47,87,24,158,58,62,11,131
25,phase2,0.6329,0.3203,0.0516,0.2504,0.1835,0.0657,1.0769,1.3895,0.2130,0.1069,0.1961,0.7324,0.7664,0.7490,0.7431,0.7776,0.7600,0.8364,0.8752,0.8554,0.8219,0.8244,0.8231,0.8189,0.8199,0.8194,0.8196,0.8223,0.8208,,0.9172,0.7309,0.7697,0.9217,0.9366,0.8444,0.9524,0.8034,0.7659,0.7070,0.8568,0.8613,0.8401,0.8858,72,62,14,148,85,94,20,199,52,64,12,128,75,104,32,211,57,54,23,134,45,90,24,159,60,59,12,131,71,62,15,148,81,97,21,199,50,62,16,128,80,103,28,211,54,61,19,134,47,87,25,159,58,62,11,131
26,phase2,0.6535,0.3171,0.0509,0.2448,0.1764,0.0653,1.1101,1.3812,0.2149,0.1070,0.1906,0.7343,0.7672,0.7504,0.7450,0.7784,0.7613,0.8392,0.8768,0.8576,0.8222,0.8238,0.8230,0.8191,0.8193,0.8192,0.8258,0.8298,0.8275,,0.9143,0.7309,0.7771,0.9261,0.9366,0.8500,0.9524,0.8034,0.7658,0.7126,0.8599,0.8613,0.8320,0.8857,72,62,14,148,87,94,19,200,51,65,12,128,77,104,31,212,57,54,23,134,45,89,25,159,61,58,12,131,71,62,15,148,82,97,21,200,50,62,16,128,80,104,28,212,54,61,19,134,48,86,25,159,58,62,11,131
27,phase2,0.5880,0.2880,0.0437,0.2445,0.1756,0.0591,1.0661,1.3761,0.2211,0.1103,0.1851,0.7383,0.7672,0.7525,0.7490,0.7784,0.7634,0.8422,0.8752,0.8584,0.8241,0.8260,0.8249,0.8203,0.8206,0.8204,0.8297,0.8337,0.8314,best,0.9143,0.7313,0.7732,0.9237,0.9366,0.8603,0.9524,0.7927,0.7730,0.7175,0.8595,0.8613,0.8355,0.8857,74,62,12,148,88,92,19,199,51,63,12,126,75,104,32,211,57,54,23,134,45,89,26,160,61,58,12,131,71,62,15,148,80,98,21,199,49,61,16,126,80,104,27,211,54,61,19,134,48,86,26,160,58,62,11,131
28,phase2,0.5169,0.2476,0.0415,0.2391,0.1728,0.0605,1.0781,1.3474,0.2171,0.1092,0.1947,0.7346,0.7640,0.7490,0.7462,0.7760,0.7608,0.8385,0.8720,0.8549,0.8223,0.8222,0.8222,0.8208,0.8200,0.8204,0.8340,0.8380,0.8356,,0.9143,0.7229,0.7658,0.9237,0.9366,0.8547,0.9524,0.7927,0.7687,0.6944,0.8627,0.8485,0.8436,0.8857,74,62,12,148,86,91,20,197,51,63,11,125,75,104,32,211,57,55,22,134,45,90,25,160,61,58,12,131,71,62,15,148,79,97,21,197,49,60,16,125,80,104,27,211,54,61,19,134,47,87,26,160,58,62,11,131
29,phase2,0.5086,0.2402,0.0376,0.2216,0.1649,0.0556,1.0990,1.3605,0.2192,0.1106,0.1856,0.7354,0.7648,0.7498,0.7462,0.7760,0.7608,0.8392,0.8728,0.8557,0.8231,0.8241,0.8235,0.8239,0.8213,0.8226,0.8314,0.8354,0.8331,,0.9143,0.7289,0.7658,0.9217,0.9366,0.8539,0.9524,0.7927,0.7624,0.7019,0.8591,0.8613,0.8434,0.8857,74,62,12,148,86,91,21,198,52,63,10,125,76,103,32,211,57,54,23,134,45,89,25,159,61,58,12,131,71,62,15,148,80,97,21,198,49,60,16,125,80,104,27,211,54,61,19,134,47,86,26,159,58,62,11,131
30,phase2,0.4734,0.2219,0.0350,0.2207,0.1617,0.0495,1.0789,1.3645,0.2203,0.1101,0.1909,0.7375,0.7688,0.7528,0.7483,0.7800,0.7638,0.8381,0.8736,0.8555,0.8302,0.8268,0.8284,0.8293,0.8247,0.8269,0.8300,0.8344,0.8318,best,0.9172,0.7250,0.7707,0.9217,0.9329,0.8556,0.9524,0.7927,0.7759,0.7019,0.8719,0.8609,0.8455,0.8857,74,62,12,148,86,93,19,198,52,63,10,125,77,104,30,211,57,53,23,133,47,89,25,161,61,58,12,131,71,62,15,148,80,97,21,198,49,60,16,125,80,104,27,211,54,60,19,133,49,86,26,161,58,62,11,131
31,phase2,0.5070,0.2316,0.0322,0.2155,0.1604,0.0440,1.1128,1.3668,0.2228,0.1106,0.1801,0.7400,0.7696,0.7545,0.7500,0.7800,0.7647,0.8408,0.8744,0.8573,0.8299,0.8276,0.8286,0.8251,0.8196,0.8223,0.8326,0.8371,0.8344,best,0.9172,0.7253,0.7746,0.9217,0.9362,0.8611,0.9524,0.7927,0.7823,0.7188,0.8719,0.8609,0.8367,0.8775,74,62,12,148,86,92,18,196,52,64,11,127,77,104,30,211,57,53,23,133,46,89,26,161,60,58,13,131,71,62,15,148,79,96,21,196,49,61,17,127,80,104,27,211,54,60,19,133,49,86,26,161,58,62,11,131
32,phase2,0.3980,0.1776,0.0334,0.2135,0.1586,0.0482,1.0609,1.4129,0.2179,0.1074,0.1905,0.7419,0.7680,0.7547,0.7519,0.7784,0.7649,0.8423,0.8720,0.8569,0.8311,0.8267,0.8287,0.8252,0.8199,0.8224,0.8326,0.8370,0.8344,best,0.9201,0.7266,0.7707,0.9217,0.9324,0.8603,0.9524,0.7927,0.7786,0.7023,0.8719,0.8667,0.8444,0.8775,74,62,12,148,87,91,18,196,52,64,10,126,77,104,30,211,58,53,21,132,46,89,25,160,60,58,13,131,71,62,15,148,79,96,21,196,49,61,16,126,80,104,27,211,54,60,18,132,48,86,26,160,58,62,11,131
33,phase2,0.4139,0.1810,0.0326,0.2097,0.1545,0.0390,1.0777,1.3793,0.2218,0.1105,0.1891,0.7425,0.7704,0.7562,0.7533,0.7816,0.7672,0.8443,0.8760,0.8598,0.8280,0.8268,0.8273,0.8265,0.8221,0.8242,0.8314,0.8351,0.8330,best,0.9172,0.7289,0.7707,0.9237,0.9324,0.8778,0.9524,0.7927,0.7779,0.7084,0.8683,0.8667,0.8382,0.8776,74,62,12,148,88,90,20,198,51,66,10,127,78,103,30,211,58,53,21,132,47,91,26,164,59,59,13,131,71,62,15,148,80,97,21,198,49,62,16,127,80,104,27,211,54,60,18,132,50,88,26,164,58,62,11,131
34,phase2,0.3996,0.1717,0.0281,0.2056,0.1549,0.0408,1.1173,1.3204,0.2225,0.1106,0.1870,0.7450,0.7712,0.7579,0.7543,0.7808,0.7673,0.8470,0.8768,0.8616,0.8275,0.8239,0.8256,0.8262,0.8197,0.8228,0.8323,0.8365,0.8340,best,0.9172,0.7279,0.7796,0.9261,0.9324,0.8802,0.9524,0.7927,0.7784,0.7249,0.8617,0.8631,0.8259,0.8914,74,62,12,148,86,92,18,196,51,66,11,128,77,104,31,212,59,54,19,132,46,91,26,163,59,60,12,131,71,62,15,148,80,96,20,196,49,62,17,128,80,105,27,212,54,60,18,132,50,88,25,163,58,62,11,131
35,phase2,0.3782,0.1649,0.0272,0.2020,0.1520,0.0377,1.0611,1.3698,0.2225,0.1121,0.1884,0.7463,0.7696,0.7578,0.7556,0.7792,0.7672,0.8503,0.8768,0.8633,0.8265,0.8207,0.8234,0.8254,0.8168,0.8209,0.8310,0.8354,0.8327,,0.9172,0.7306,0.7821,0.9301,0.9324,0.8802,0.9524,0.7927,0.7784,0.7192,0.8554,0.8631,0.8259,0.8914,74,62,12,148,86,92,18,196,52,65,11,128,78,105,29,212,59,54,19,132,46,91,26,163,59,60,12,131,71,62,15,148,80,96,20,196,49,62,17,128,80,105,27,212,54,60,18,132,50,88,25,163,58,62,11,131
36,phase2,0.3460,0.1500,0.0267,0.1975,0.1462,0.0437,1.0633,1.3271,0.2259,0.1126,0.1883,0.7506,0.7728,0.7615,0.7599,0.7824,0.7710,0.8502,0.8760,0.8629,0.8311,0.8250,0.8279,0.8306,0.8208,0.8254,0.8310,0.8358,0.8329,best,0.9172,0.7390,0.7885,0.9190,0.9324,0.8739,0.9524,0.7927,0.7802,0.7196,0.8586,0.8767,0.8336,0.8914,74,62,12,148,86,94,17,197,52,66,11,129,77,104,29,210,59,53,20,132,46,91,25,162,59,60,12,131,71,62,15,148,82,96,19,197,49,63,17,129,80,103,27,210,54,60,18,132,49,88,25,162,58,62,11,131
