feedback_text,is_PRODUCT,is_PRICE,is_SHIPPING,is_SERVICE,is_PLATFORM
tệ vô cùng cm ạ đẩy toàn hàng nhái hàng dỏm kém chất lượng làm quà cho người mới quà tặng cho người mới nó hủy hết cm không có nhận được đâu mà quà toàn là mấy hãng nhái kém chất lượng chịu app thật,1,0,1,0,1
có những khách hàng mới vào thủ tục đăng ký quá rườm rà,1,0,0,0,0
không mua được,0,0,0,0,0
acc mới mua mỗi cái sdp xong cũng bị cr01 thì chịu hẳn r,1,0,0,0,0
ủa rồi mắc gì cái app qua nay cứ nâng cấp vầy riết vậy đơn hàng báo giao từ 31 12 mà tới nay không thấy gọi nhưng lại ghi nhận giao không thành công lần 2,0,1,1,1,1
mua hàng nhắn tin không trả lời đặt size này giao size kia mua màu này giao màu nọ vải này giao vải nọ chán,0,0,0,0,0
cái nền tảng gì không biết hàng ra gì không mà giá cao hơn nền tảng khác rất nhiều thì chúng mày đưa về nhà mà xài,1,1,0,0,0
ae tốt,0,0,0,0,0
hoàn hàng nhưng 2 tháng rồi không hoàn tiền cho khách,0,1,0,0,0
chấm hỏi thiệt chứ lần đầu tải về đăng kí tk hệ thống báo là tk bị khóa ngộ v,0,0,0,0,0
rẻ mà hay,0,1,0,0,0
khá là ok,0,0,0,0,0
mấy app khác quảng cáo nhiều quá ghét nên cho 1 sao,0,0,0,0,1
giúp tôi mua được nhiều đồ,1,0,0,0,0
lag quay vòg vòg bắt người ta xác nhận gửi mã về nhập vào i hệt thì không được mất sđt nên mới đổi số khác mà cứ bắt xác nhận gửi mã về số đó ma coi hả cái app lờ này sập sớm dùm cái,1,0,1,0,1
đã từng cho 5 sao nhưng giờ cảm thấy rất thất vọng giao sai hàng là lỗi của tiki mà kiếu nại giải quyết mãi không xong đến khi thông báo có ng đến thu hồi thì chờ mòn cổ không ai đến rồi đùng cái nhận được cái email báo là hủy thu hồi do thu hồi 3 lần không thành công ủa không ai gọi không ai đến xong bảo không thành công tiki làm việc thiếu trách nhiệm không tôn trọng khách hàng chẳng qua 1 sao là thấp nhất chứ nếu có âm sao thì chắc chắc t sẽ cho âm,0,0,1,1,1
app siêu lag siêu chậm mua sắm online kiểu này thua thua xa shopee lazada,0,0,1,1,1
mới tạo tk xog bị khóa là sao xin 1 lời giải thích,1,0,0,0,0
rất phiền,0,0,0,0,0
đơn vị vận chuyện tiki giao hàng quá lâu gần 1 tuần mới giao hàng đến nhà quá tệ cực kì quá tệ,1,0,1,0,1
có shiper đọa sẽ mua hàng rẻ tiền thì sẽ không ship cho,0,1,1,0,0
giao hàng đúng hẹn hàng chất lượng giá hấp dẫn,1,1,1,0,0
làm ăn như,0,0,0,0,0
dạo này lazada mất dạy lắm đơn hàng được giảm tiền vào thanh toán thì không được bắt trả giá gốc nt với cửa hàng thì kêu mình đổi nick khác xem có bị không đổi thì hiện lỗi tiếp báo trùng địa chỉ hoặc mua nhiều đơn trong khi t chỉ mua 1 món thanh toán trước để app mã cũng không cho bộ bị khùng ha gì,1,1,1,1,1
không cho hoàn hàng,0,0,0,0,0
sản phâ m nhìn cu ng ok nhưng hơi mong manh nha cửa hàng,0,0,0,1,0
hàng mua quà shopee chuẩn,0,0,0,1,1
shopee săn sale rất tốt và nhiều mã ngon,1,1,0,1,1
app càng ngày càng tệ load chậm thanh toán onl thì cứ báo khoing có mạng trong khi 4g full app nào cũng load nhanh,1,0,1,0,1
ok tốt uy tín,0,0,0,0,0
toàn giao đơn đi lung tung,0,0,0,0,0
ôi giời ơi lazada tôi còn chưa có thẻ đen có chưa hả hả,0,0,0,0,1
chả biết mọi người trải nghiệm ra sao riêng tui thấy thứ 1 giá vận chuyển so với lazada va shoppe ổn hơn nhiu thứ 2 được kiểm tra hàng trong khi 2 cửa hàng kia không cho kiểm hàng bảo là được phép đổi trả mà liên hệ 8 năm chả thấy đổi nên mua gi cũng mua bên tiki giá hàng bên này cũng ổn,1,1,1,1,1
sử lý hàng rất lâu kém không nên dùng,1,0,1,0,0
sài tốt hơn,0,0,0,0,0
cũng ổn nhưng quảng cáo hơi nhiều,1,0,0,0,0
thật sự rất tệ,0,0,0,0,0
nhiều món đồ ngon bổ rẻ,1,1,0,0,0
cho nhiều voucher,0,1,0,0,0
shopee bây giờ rất uy tín mọi người ủng hộ cho shopee nhé,0,0,0,1,1
vẫn lựa chọn chân ái,0,0,0,0,0
tệ đơn vị vận chuyển làm ăn như gì v cầm nhầm đơn t sáng kq khác trong khi mấy lần trước giao rất bth giờ thì cầm nhầm xong còn bảo t ghi địa chỉ sai nữa,0,0,1,0,0
giao diện hơi khó dùng,1,0,0,0,1
đăng nhập lỗi,0,0,0,0,1
mình thấy bình luận phản ánh nhiều quá mình mong app hỗ trợ nhiệt tình,0,0,0,1,1
mẹ thề phải tuyệt vọng lắm mới tìm đến tiki tốt với nhanh chả thấy đâu voucher cho người mới mò hoài không thấy giảm giá thì ít nói chung shoppe với laz ngon hơn nhiều tìm quả sách bên shoppe với laz bán hết r mới sang tiki trời má bán đắt gấp đôi nói chung là tiki tệ,1,1,1,1,1
đặt hoả tốc và đơn bth cùng 1 lúc đều ở tphcm chx kể đơn giao bth thì đặt sau đơn hoả tốc 1 ngày đơn hoả tốc giao chậm hơn đơn bth mà đắt hơn mấy trăm chả hiểu,0,1,1,0,0
không hề có một vuocher nào để mà aap vô sản phẩm tìm được voucher thì lại phải mua thêm sản phẩm nói chung khắc phục vấn đề này đi,1,1,0,0,0
tài khoản dễ bị khóa không rõ lý do gửi mã xác minh muộn tôi cảm thấy phiền gỡ ngay ứng dụng khi không sử dụng được bye,0,0,0,0,1
đúng hẹn cảm ơn,0,0,0,0,0
trang hỗ trợ thì đưa ra con ai ngu chả được tích sự gì,0,0,0,1,0
mã cho kh mới giờ lên đơn 99k quá tệ,1,0,0,0,0
tiki giao đồ tốt đúng thời hẹn nhưng có một số shipper đặt giao tới nhà mà không giao tới bắt phải đi xa để lấy,1,0,1,0,1
nhanh tốt,0,0,1,0,0
rất hay những mặt hàng cần thiết giao hàng nhanh,0,0,1,0,0
nhanh gọn lẹ,0,0,1,0,0
shipper chỉ rình trả hàng của khách chứ không thèm ship,0,0,1,0,0
ae không nên tải phí thời gian hàng giao về không dùng được,1,1,0,0,0
cho lazada 5 sao luôn mong lazada cho nhiều mã free ship nha lazada cute phô mai phee yêu yêu quý,0,0,1,0,1
rất tệ nha không nên xài,1,0,0,0,0
khoá tài khoản không lí do,0,0,0,0,0
cái sàn thương mại xem thường khách hàng nhất trên các sàn luôn nha giao hàng hư mà trả hàng còn cực hơn gặp tổng thống nữa giải quyết hẹn hết ngày này qua ngày nọ xem thường thời gian của khách hàng,0,0,1,1,0
rất uy tín nhé,0,0,0,0,0
ứng dụng rất phiền thông báo rất nhiều,0,0,0,0,1
đăng kí shopee vip được nhận mã miễn phí 3 tháng chat gpt go vậy tại sao đk chat gpt go lại bị trừ tiền,0,1,1,1,1
mua hàng nhanh tin cậy hơn,0,0,1,0,0
mong ti ki đem lại trải nghiệm cho khách hàng nhiều hơn về vấn đề bảo hành sản phẩm được nhanh hơn đe sử dụng,1,0,1,0,1
rất ghe,0,0,0,0,0
app không đăng nhập vào được nữa còn rất nhiều astra chưa dùng,1,0,0,0,1
chưa mua lần nào,0,0,0,0,0
sóp bi ăn bả cho,0,0,0,0,0
sau nhiều năm trải nghiệm mua sắm trên nhiều sàn khác nhau tôi thấy shopee rất biết cách chiều lòng khách hàng,0,0,0,1,1
như đb suốt ngày cập nhật,0,0,1,0,0
quảng cáo lắm phiền,0,0,0,0,0
cập nhật khó nhưng vẫn tốt,0,0,0,0,0
đặt 4 5 đơn shippher gọi alo mà shipper không tl r tự ý hủy đơn hàng không giao ns chung là tệ,0,0,1,1,0
100 điểm không có nhưng nha,0,0,0,0,0
app dễ chs đăng nhập nhanh thấy rất là tốt,0,0,1,0,1
xác minh danh tính thì xác minh mãi không được mà cứ bắt xác minh hoài riết không đặt được một đơn,0,0,0,0,0
quá mệt mỏi với việc 5 phút tự động đăng xuất một lần,0,1,0,0,0
sản phẩm này được giới thiệu tới tôi bởi hội cuồng tai nghe true wireless dưới sự lãnh đạo của huy bt 5 0 người được mệnh danh là chiến thần đu đỉnh cũng giống như kingsman một tổ chức tình báo tư nhân được thành lập để bảo vệ thế giới hoạt động dưới vỏ bọc một tiệm may thì cuồng tai nghe true wireless hoạt động dưới vỏ bọc các tín đồ tai nghe nhưng thực chất giúp mọi người cùng đu đỉnh săn sale các đặc vụ của tổ chức này liên lạc với nhau dưới bí danh ct,1,1,0,0,0
tam ok,0,0,0,0,0
app khó dùng mua đơn không áp được mã nào chỉ được free ship,1,0,1,0,1
làm ơn hãy thêm giao diện tối,0,0,0,0,1
ghim hàng của người ta cả tuần không chịu giao mà thấy kích sale quài kích sale mà sao không giao hàng,0,1,1,0,0
dùng rất ổn thỉnh thoảng lag nhma load lại thì vẫn dùng okla tổng thể 9 5 10,1,0,0,0,1
rất hài lòng với lazada,0,0,0,0,1
khuyên mn không nên thanh toán online trước sàn cũng gọi là to nhất nhì việt nam đấy nhưng đến lúc thanh toán thì xoay ngư chong chóng mạng mobile 5g,1,0,0,1,0
mua sắm thuận tiện,0,0,0,0,0
lazada dạo này thật sự quá là vô lý đăng nhập tài khoản kêu là tài khoản của bạn bị khóa vì lý do bảo mật ull cc gì đấy không rõ nữa lấy sdt để tạo tài khoản mới cũng kêu là tài khoản bị khóa vì lý do bảo mật lấy sdt khác tạo cũng vẫn bị nãy giờ tao bị khóa 6 cái tài khoản rồi đó nha lazada ạ tôi khuyên những anh em nào đang có ý định tải app về sử dụng mua hàng thì tốt nhất đừng tải tải về cũng không đăng ký đăng nhập được tài khoản đâu chỉ tốn dung lượng tốn thời gian của anh em mà thôi,1,0,0,0,1
chính sách hoàn tiền trả hàng không đúng như mong đợi khi nhập thông tin tài khoản để hoàn trả thì không cho nhập đầy đủ họ tên mà chỉ cho nhập tên lót ảnh hưởng đến việc hoàn tiền thay vì hỗ trợ và khắc phục thì lazada quyết định sẽ hoàn tiền mặt nhưng chỉ thông báo chứ không hoàn tiền tôi thấy thất vọng khi đã tin tưởng vào ứng dụng này,0,1,0,1,1
hàng hóa không đa dạng phí giao hàng ngày càng đắt,0,1,1,0,0
app ok,0,0,0,0,1
không đặt hàng 2 tháng không mở app 1 tháng tới 12 12 mở app săn sale tự nhiên hiện lỗi cr01 hỏi cskh thì trở lời vòng vo kêu lỗi hệ thống không biết chi tiết lỗi gì cũng không chỉ cách khắc phục không biết khi nào hết lỗi luôn,1,1,0,0,1
đắt không dùng được điểm thưởng lazadareward,1,1,0,0,1
rat tốt,0,0,0,0,0
mua hàng bên shopee sử lý đơn hàng rất ok và luôn bảo vệ người tiêu dùng nhưng đôi khi vẫn chưa quản lý được chất lượng sản phẩm của các cửa hàng nên vẫn còn nhiều sản phẩm kém chất hàng giả hàng nhái,1,0,1,1,1
làm ăn lằng nhằng,0,0,0,0,0
4 84 1 tạm ổn vì ít voucher,0,1,0,0,0
quảng cáo đâu ra lắm thế không biết có ai mặn mà gì ứng dụng rác kiểu này đâu không lo phát triển app suốt ngày chỉ quảng cáo,0,0,1,0,1
tại sao khi đặc hàng thông tin đầy đủ mà lazada chưa giao rồi tự hủy đơn là sao vậy,0,0,0,0,1
oke nha,0,0,0,0,0
rất tốt rẻ,0,1,0,0,0
máy của mình tải hơi lâu nên cũng mong nhà phát hành nén dung lượng lại,1,0,1,0,0
bảo hành sản phẩm rất tệ,1,0,0,0,0
love tiki,0,0,0,0,1
không tải shoppe được,0,0,0,1,0
giao hàng nhanh sản phẩm tốt giá còn hơi cao và chưa có sự đa dạng trong nhiều sản phẩm,1,1,1,0,0
tốt quá,0,0,0,0,0
tải quá lâu,0,0,1,0,0
giao hàng thì lâu nhưng hàng thì vẫn không sao nha,0,0,1,0,0
anh em ship ở kho ở đông anh không làm được thì nghỉ việc đi giao cách có 2km mà 15 ngày không giao được cho ngta chịu đấy,0,0,1,0,0
tốt ngưng vận chuyển hơi vỡ nhé,0,0,1,0,0
trientchieurluongs thanks very good,0,0,0,0,0
trải nghiệm rất khó chịu,0,0,0,0,1
không cho mua hàng với voucher giảm giá nói chung như c,0,1,0,0,0
hàng rất xinh,0,0,0,0,0
làm ơn đừng quảng cáo nữa nha shopee t lạy m nhiều,0,0,0,1,1
tôi trả bít nói gì,0,0,0,0,0
thay đổi địa chỉ mặc định không được đơn hàng đặt rồi muốn đổi địa chỉ không có tùy chọn như trước kia,0,0,1,0,0
đặt hàng không thấy điện thoại lấy hàng máy thần giao hàng nhằm khi không giao luôn rồi tự chả về rồi lazada cho gần bơm hàng rồi không cho nhận hàng rồi thanh toán oc chó giao hàng cũng làm biến cmn,1,0,1,0,1
t bị vô ứng dụng hoài phiền chết,0,0,0,0,1
có nhiều ưu đãi,0,0,0,0,0
lúc đầu vào thì cho miễn phí mua 3 món đồ sau 1 ngày thì hủy luôn 3 đơn đó bốc phét màu là giỏi,1,1,1,0,0
rất hài lòng với dịch vụ,0,0,0,0,0
càng ngày làm ăn càng chán mua hàng thì không cho áp mã áp được mã mua thì tự hủy lên kim cương xong mua hàng còn đắt hơn nick không hạng food thì ấn đặt mà không cho hủy ngt lỡ tay ấn vào nút đặt trước khi quán xác nhận thì phải cho ngt hủy chứ xong còn trò flash sale món ăn mà địa chỉ không giao được vẫn cho ngt mua xong kêu không giao được coi như mất tiền không trả lại ngày càng láo lếu,0,1,1,0,0
tiki từng là trang mua sắm hàng đầu việt nam nhưng bây giờ thì không nữa mình thích tiki của năm 2018 và 2019 lúc đó shoppe và lazada vẫn không thịnh hành tiki vào khoảng thời gian đó uy tín và tốt cực kì nếu so sánh thì tiki và các sàn thương mại bây giờ không bằng tiki của 2 năm đó bây giờ mình vào 1 là lỗi hệ thống 2 là phí ship rất rất là cao lun cao đến mức mình không thể tin được đây là tiki hay là trang web đen nữa mình thật sự rất thất vọng tiki vì đã đánh mất đi giá trị,0,1,1,1,1
tạo tk với sdt cũng bị khóa chịu,1,0,0,0,0
ủng hộ tầm nhìn của người việt,0,0,0,0,0
giao hàng nhanh,0,0,1,0,0
nhanh gọn,0,0,1,0,0
cho 5 sao với nhiều cải tiến về đa dạng sản phẩm các chương trình khuyến mại gần đây có nhiều cải tiến phù hợp với nhu cầu của khách hàng,1,0,0,0,0
sao app giờ không thấy chổ xóa hàng trong giỏ thế nhỉ,0,0,0,0,1
app dùng thích mua hàng rẻ và chất lượng nên dùng app này,1,1,0,0,1
tiki mua j cũng có đây các bạn ơi các bạn tải tiki về đi hay lắm đó nha,1,0,0,0,1
ai đời gộp chung sản phẩm của cửa hàng khác vô chung 1 chỗ mua không để ý là mua trúng cửa hàng hãm liền ch kể cửa hàng ngta đang tạm nghỉ bán mà vẫn mua được tới khúc tiện ch ạ,1,0,0,1,0
nếu bật được chế độ nền tối nữa là ok nền sáng chói mắt quá,0,0,0,0,0
bán đồ để 1 giá bấm mua 1 giá khác 82 mà để với giá góc giảm được 1k làm ăn nhôn lừ,1,1,0,0,0
1 hủy đơn không hỏi ý khách hàng quên mất khách hàng là người đã trả tiền 2 hệ thống tổng đài viên trên phần tiki hỗ trợ trả lời cực lâu 3 đơn đặt từ ngày 10 10 đến 30 10 chưa giao lazada shopee giao mấy lượt đơn hàng nhưng tiki vẫn chưa giao 4 không kiểm soát được người bán hàng nên để đăng sản phẩm bán cho khách xong báo nhà bán hàng tạm khoá hoặc không hoạt động 5 hứa hẹn khắc phục thay đổi nhưng không làm được mất tên tuổi thương hiệu vì những việc không đáng,1,1,1,1,1
ứng dụng mua j củng đắt,0,1,0,0,1
chất liệu túi đẹp y như mô tả,1,0,0,0,0
app sv giao hàng lâu vc,0,0,1,0,1
giao nhanh chóng,0,0,1,0,0
rất tốt tuyệt vời 100 điểm cho tiki,0,0,0,0,1
hay nha vừa tiện lợi,0,0,0,0,0
đăng kí đăng ngập loằng ngoằng chê nạnh,0,0,0,0,0
rất ổn,0,0,0,0,0
đăng nhập bảo khoá,0,0,0,0,1
mỗi tội tải hơi lâu,0,0,1,0,0
app cập nhật tình trạng đơn hàng cực chậm giao hàng lâu tìm mục phản ánh lâu toàn phải gọi tổng đài,0,0,1,1,1
hihi đe hay,0,0,0,0,0
hay lắm nha nhanh tay lên để mua hàng rẻ truy cập vào timmagiamgia vn đầy ưu đãi nhất hiện nay,0,1,1,0,0
app rác à tải về đki tk xong khoá tài khoản của ngta luôn,0,0,0,0,1
làm sao để kiếm mã giảm giá trên app vậy,0,1,0,0,1
nick mới vào không có voucher nào còn bị đánh vi phạm cr01 chẳng hiểu kiểu gì,1,1,0,0,0
đặt hàng 22 ngày vẫn chưa thấy giao gọi điện tổng đài cũng không biết hàng đang ở đâu luôn,1,0,1,1,0
lâu rồi mới quay lại laz bảo mua đơn trên 200 được tặng voucher 200 oki mua xong được tặng một đống mua 50 tặng 20 mua 300 tặng 50 cộng lại đủ 200 đi mà m chọn tiếp mấy đơn không đơn nào được add mã kiểu nói một đường làm một nẻo muốn bỏ ghê còn trong choice chọn nó toàn báo sản phẩm không chọn được không biết là lỗi hay do hết hàng nữa mà nếu hết hàng thì đừng có hiển thị chứ nè,1,1,1,0,1
giao diện đẹp,1,0,0,0,1
càng nâng cấp càng phiền phức,0,0,0,0,0
rất tuyệt vời lazada,0,0,0,0,1
lâu lắm mới mua 1 đơn mua xong bị dính cr01 mất hết voucher sàn tmall,1,1,1,0,0
ship tự động hủy đơn hàng của tôi liên hệ laz thì không giải quyết nói rằng ship đã gọi và đã tới nhà tôi tôi hỏi tới thời gian nào thì không trả lời thật sự thất vọng tôi tưởng chỉ ship không trung thực nhưng tôi đã lầm cả công ty không trung thực bao che cho sự dối trá tôi đã xóa app laz,0,0,1,1,1
tôi tin tưởng rất nhiều khi mua sắm hàng tại shoppee đổi trả hàng nhanh chóng và dễ dàng rất uy tín chúc có nhiều khách hàng quan tâm đến shoppe này tôi tin tưởng và chỉ đặt hàng ở shoppe này,0,0,1,1,0
nó có bán nhiều đồ lên múc lun,1,0,0,0,0
shopee rất tốt giá bình ổn được miễn phí ship thường xuyên shipper lại rất nhiệt tình là nơi đáng để mọi người mua sắm,0,1,1,1,1
không tốt chưa hài lòng,0,0,0,0,0
bắt đảm bảo chi chi ná,0,0,0,0,0
tự ý khóa voucher và đánh lỗi cr1,0,1,0,0,1
mình thích sopi,0,0,0,0,0
máy đẹp y hình,1,0,0,0,0
hàng chính hãng rất tốt,1,0,0,0,0
mua có 2 quyển sách shipper kiểu gì đổi thời gian giao cái trả hàng về cho nhà bán luôn khách chưa nói xog tắt cấy rộp,0,0,1,0,0
tự hủy đơn hàng của người khác,0,0,1,0,0
damn quảng cáo giật mình,0,0,0,0,0
bán đồ rẻ,1,1,0,0,0
app nhưng qq,0,0,0,0,1
tốt lắm nha mua sách giao rất nhanh nè,0,0,1,0,0
giá rẻ hơn sàn tk nha còn hay live,0,1,0,0,0
bây giờ toàn chuyển qua mua hàng bên shopee bên shopee có nhiều chính sách miễn phí vận chuyển còn được kiểm hàng trước khi thanh toán nữa thoải mái hơn lazada nhiều,0,1,1,1,1
không free ship giao hàng chậm không có phần đánh giá dịch vụ giao hàng,0,1,1,0,0
đặt giao nhanh 48h 3 ngày vẫn chưa thấy giao,0,0,1,0,0
nhắn tin cho cửa hàng mà không thấy trả lời tự ý hủy đơn hàng không có lý do xong ghi là mình tự hủy 1 lần trải nghiệm tồi tệ,0,0,1,1,1
thích trải nghiệm và thử thách,0,0,0,0,1
app rẻ rách khoá tài khoản người dùng,1,1,0,0,1
tôi mua hàng trên tiki nhưng nhà bán giao thiếu tôi liên hệ tiki xử lý thì tiki treo hơn 14 ngày chưa xử lý ps tiki thông đồng nhà bán tiếp tay lừa đảo,1,0,1,1,1
khó tải áp này quá,0,0,0,0,0
sao vào không được,0,0,0,0,0
61 741 mình muốn mua 3 giàn pháo quả cửa hàng nào bán tư vấn mình lấymình muốn mua 3 giàn pháo 25 quả cửa hàng nào bán tư vấn mình4r x v y y vv gv 7 vv v g 18i8ịịi j854 mình muốn mua 3 giàn pháo 25quả v v v vv f c f vc vc v5v v d3 c v cửa hàng nào bán tư vấn mình lấymình muun m a 3 giàn pháo 25 quả cửa hàng 4 nào bán tư vấn mình lấyv,0,0,0,1,0
giao hàng siêu lâu cập nhật đơn hàng cực kì cẩu thả bộ phận chăm sóc khách hàng làm việc cho có hả trả lời qua loa theo văn mẫu đây chắc lần cuối đặt hàng trên tiki quá,0,0,1,0,1
trải nghiệm ok đổi trả sản phẩm chính hãng ổn gần đây vô app thấy giao diện app bị tiền đình luôn không biết tìm các mục khuyến mãi ở đâu luôn,1,1,0,0,1
đăng nhập và ruong ra,0,0,0,0,1
giao hàng lâu vl từ sg giao tây ninh mà gần 10 ngày chưa nhận được hàng,0,0,1,0,0
đặc hàng mà super không gọi giao hàng 2 lần rồi,0,0,1,1,0
mua hàng trên tiki lần đầu thì bị hủy mà không bt lí do tại sao r sau đó không cho thanh toán khi nhận hàng vậy là nghỉ sài tiki qua shopee vẫn tốt hơn,0,0,1,1,1
mọi thứ đều ok khá hoàn tất nhưng còn vài lỗi nhỏ nói chung ngon,1,0,0,0,1
chính sách chèn ép khách hàng giải quyết vấn đề thì đổ cho khách hàng như này như kia shipper giao hàng thì không ra gì,0,0,1,1,0
đăng nhập rồi tự nhiên bị khóa tài khoản là sao vậy,0,0,0,0,1
tiki làm ăn quá dở mới tải về đã lỗi mua đồ không được quá tệ,1,0,0,0,1
như lôn,0,0,0,0,0
nói chung là ok một số đơn hàng giao quá chậm,0,0,1,0,0
như bùồi,0,0,0,0,0
giá giẻ quá cho năm sao luôn,0,1,0,0,0
chuẩn hàng nhưng giá hơi cao so vs cửa hàng khác,0,1,0,1,0
tự ý hủy đơn vì đặt hàng nhanh,0,0,1,0,0
đm có tải dsc đau chó đe đu mẹ đm,0,0,0,0,0
rất phiền luôn ấy qc app xuất hiện mọi nền tảng lỡ trượt tay là lại chuyển qua trang shopee muốn chơi 1 tựa game hay xem 1 bộ phim trên web cứ phải qua lại qua lại giữ 2 trang đến mức đt giật lag đã vậy còn để dấu x giả để lừa người dùng ấn vào sau đó đưa qua trang shopee thật sự nếu nsx không phải người dùng thì sẽ đ biết nó khó chịu đến mức nào đâu,1,1,0,1,1
oke nha có sự cố là xử lý được liền khiếu nại hàng hóa gì cũng oke,1,0,0,0,0
tôi là nạn nhân kiểu sale 2 2 kiểu kích cầu giả tạo tôi mua 2 đơn hàng chờ hoài vì vận chuyển bị trễ đến khi có người gọi điện đúng lúc tôi vắng nhà họ hằng học và tự nói hủy đơn cũng không cho tôi hẹn lại thời gian cũng không một lời hẹn lại thời gian giao hàng tôi có liên hệ với tổng đàu shopee và nhắn tin cho người bán thế nhưng vẫn không giải quyết tôi nói điều này để khẳng định tôi cần đơn hàng và tôi là người dùng thật,1,1,1,1,1
