epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,span_f1,sent_f1,glob_f1,composite,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
11,phase2,6.4318,4.1671,0.6510,1.0894,0.5229,0.1380,1.0379,1.2895,0.8687,0.1074,0.3445,0.6357,0.4462,0.3028,0.4933,best,0.5977,0.3913,0.3776,0.7132,0.6286,0.8116,0.8548,0.3122,0.3140,0.3738,0.4087,0.3869,0.2665,0.4024,57,21,0,78,4,14,0,18,48,45,1,94,11,49,86,146,53,26,14,93,1,62,82,145,66,39,4,109,26,45,7,78,8,9,1,18,36,42,16,94,42,66,38,146,59,30,4,93,51,82,12,145,62,31,16,109
12,phase2,5.7395,3.5740,0.6367,1.0842,0.5205,0.1371,1.0242,1.2714,0.8577,0.1064,0.3644,0.6869,0.4581,0.3273,0.5234,best,0.6715,0.4828,0.4929,0.7150,0.7063,0.8418,0.8810,0.3086,0.4222,0.4399,0.4373,0.4039,0.2891,0.3929,68,23,1,92,11,10,0,21,43,87,7,137,19,39,97,155,70,25,15,110,6,73,68,147,68,43,4,115,33,50,9,92,10,10,1,21,58,58,21,137,45,70,40,155,72,33,5,110,51,82,14,147,66,33,16,115
13,phase2,5.3082,3.1055,0.6171,1.0707,0.5067,0.1304,1.0465,1.2716,0.8626,0.1064,0.3547,0.7014,0.5046,0.3976,0.5619,best,0.7097,0.5053,0.5105,0.7350,0.7215,0.8418,0.8923,0.3716,0.4348,0.4781,0.4924,0.5051,0.3522,0.3943,62,37,0,99,11,13,0,24,46,101,3,150,19,56,82,157,62,43,12,117,4,94,48,146,52,61,3,116,36,52,11,99,12,10,2,24,65,64,21,150,46,70,41,157,76,33,8,117,52,81,13,146,67,33,16,116
14,phase2,4.8415,2.7478,0.6095,1.0544,0.5066,0.1380,1.0218,1.2789,0.8645,0.1070,0.3574,0.7151,0.4731,0.4066,0.5566,,0.7247,0.5347,0.5331,0.7451,0.7445,0.8580,0.8941,0.3836,0.4451,0.4787,0.4734,0.4687,0.2533,0.3793,86,17,1,104,13,14,0,27,78,71,12,161,27,31,104,162,71,29,20,120,2,54,90,146,67,43,6,116,37,54,13,104,12,12,3,27,70,71,20,161,50,71,41,162,80,33,7,120,52,81,13,146,68,32,16,116
15,phase2,4.5038,2.4447,0.5986,1.0433,0.4981,0.1352,1.0223,1.2662,0.8557,0.1059,0.3653,0.7386,0.5131,0.4136,0.5834,best,0.7954,0.5455,0.5672,0.7624,0.7532,0.8614,0.9055,0.4131,0.4325,0.4716,0.5604,0.4820,0.3638,0.3725,77,26,0,103,15,12,0,27,98,68,2,168,46,47,67,160,89,26,6,121,10,69,68,147,73,40,2,115,37,53,13,103,13,12,2,27,73,75,20,168,49,70,41,160,78,35,8,121,52,82,13,147,67,32,16,115
16,phase2,4.1564,2.1292,0.5844,1.0254,0.4944,0.1319,1.0294,1.2794,0.8679,0.1075,0.3511,0.7422,0.5192,0.4305,0.5907,best,0.7794,0.5918,0.5735,0.7799,0.7461,0.8614,0.9091,0.4526,0.3890,0.5081,0.5237,0.4562,0.4306,0.3366,71,36,0,107,19,10,0,29,101,70,8,179,38,43,85,166,87,26,9,122,19,58,70,147,89,25,2,116,39,55,13,107,12,13,4,29,81,78,20,179,55,71,40,166,79,35,8,122,52,82,13,147,68,32,16,116
17,phase2,4.0113,1.9712,0.5808,0.9995,0.4817,0.1365,1.0347,1.2807,0.8603,0.1063,0.3561,0.7538,0.4856,0.4225,0.5803,,0.7709,0.5882,0.5925,0.7943,0.7586,0.8693,0.9170,0.4739,0.4274,0.4853,0.4543,0.4387,0.3263,0.4056,62,39,6,107,16,14,0,30,86,66,15,167,17,41,110,168,60,24,39,123,8,51,86,145,69,33,14,116,39,54,14,107,13,13,4,30,73,74,20,167,57,71,40,168,80,35,8,123,51,82,12,145,67,33,16,116
18,phase2,3.7518,1.7739,0.5622,0.9837,0.4735,0.1243,1.0311,1.2754,0.8652,0.1071,0.3518,0.7639,0.5350,0.4634,0.6123,best,0.8182,0.5739,0.6202,0.7991,0.7437,0.8727,0.9286,0.4408,0.4603,0.5069,0.5698,0.4606,0.4627,0.3728,65,43,1,109,14,19,0,33,97,79,3,179,38,52,81,171,65,29,28,122,16,84,46,146,76,35,6,117,39,56,14,109,14,14,5,33,83,76,20,179,60,71,40,171,79,35,8,122,52,82,12,146,68,33,16,117
19,phase2,3.5018,1.6003,0.5549,0.9588,0.4738,0.1313,1.0196,1.2764,0.8581,0.1073,0.3597,0.7677,0.5320,0.4491,0.6097,,0.8205,0.5766,0.6262,0.8000,0.7546,0.8720,0.9255,0.4428,0.4646,0.5018,0.5190,0.4877,0.4332,0.4474,72,40,1,113,14,18,0,32,97,71,10,178,28,39,100,167,68,35,22,125,15,62,68,145,75,35,8,118,41,58,14,113,13,15,4,32,80,78,20,178,58,69,40,167,80,37,8,125,51,82,12,145,69,33,16,118
20,phase2,3.3095,1.4358,0.5417,0.9374,0.4596,0.1394,1.0167,1.2796,0.8629,0.1069,0.3609,0.7656,0.5462,0.4577,0.6163,best,0.8327,0.6387,0.6279,0.8009,0.7246,0.8640,0.9176,0.4351,0.4379,0.4955,0.5601,0.4804,0.5168,0.4053,78,33,2,113,19,19,0,38,105,64,12,181,44,44,86,174,85,30,10,125,25,85,35,145,96,22,1,119,41,57,15,113,15,17,6,38,83,78,20,181,62,71,41,174,77,38,10,125,51,82,12,145,69,34,16,119
21,phase2,3.2707,1.3884,0.5363,0.9182,0.4486,0.1388,1.0274,1.2785,0.8593,0.1063,0.3596,0.7748,0.5756,0.4908,0.6383,best,0.8716,0.6783,0.6225,0.8084,0.7362,0.8614,0.9365,0.4579,0.4625,0.5222,0.6279,0.4892,0.4977,0.4249,70,42,1,113,16,23,0,39,106,71,4,181,36,60,78,174,79,37,7,123,26,84,35,145,91,27,1,119,41,57,15,113,16,17,6,39,82,79,20,181,63,70,41,174,76,38,9,123,51,82,12,145,69,34,16,119
22,phase2,3.0723,1.2716,0.5104,0.8821,0.4311,0.1407,1.0207,1.2819,0.8607,0.1074,0.3569,0.7743,0.5648,0.4894,0.6335,,0.8636,0.6838,0.6331,0.8036,0.7246,0.8649,0.9286,0.5589,0.4503,0.5275,0.5874,0.4987,0.5231,0.4192,72,36,7,115,22,18,0,40,113,58,11,182,49,47,85,181,81,29,16,126,33,70,45,148,95,21,2,118,42,58,15,115,16,18,6,40,83,80,19,182,67,73,41,181,77,39,10,126,53,83,12,148,68,34,16,118
23,phase2,2.9587,1.1731,0.5195,0.8673,0.4303,0.1298,1.0261,1.2916,0.8631,0.1074,0.3477,0.7761,0.5800,0.4986,0.6421,best,0.8659,0.7321,0.6285,0.8028,0.7321,0.8649,0.9333,0.5838,0.4386,0.5316,0.6046,0.5738,0.5248,0.4520,72,34,8,114,22,19,0,41,111,63,14,188,45,47,84,176,76,29,22,127,34,69,43,146,95,21,4,120,41,58,15,114,16,19,6,41,87,81,20,188,65,70,41,176,77,39,11,127,52,82,12,146,69,35,16,120
24,phase2,2.8533,1.1310,0.5032,0.8410,0.4232,0.1244,1.0175,1.2851,0.8613,0.1080,0.3538,0.7800,0.5923,0.5185,0.6526,best,0.8760,0.7407,0.6344,0.8045,0.7200,0.8683,0.9370,0.5851,0.4686,0.5561,0.6408,0.5663,0.5071,0.4689,64,44,6,114,18,22,0,40,97,77,11,185,44,59,77,180,74,29,19,122,32,65,52,149,76,40,4,120,42,57,15,114,16,18,6,40,84,81,20,185,66,72,42,180,73,38,11,122,54,82,13,149,69,35,16,120
25,phase2,2.7629,1.0475,0.4928,0.8074,0.4122,0.1274,1.0268,1.2878,0.8618,0.1071,0.3519,0.7827,0.5952,0.5271,0.6566,best,0.8682,0.7339,0.6359,0.8119,0.7410,0.8657,0.9370,0.6342,0.4865,0.5681,0.6234,0.5494,0.5526,0.4296,63,41,9,113,21,19,0,40,109,69,8,186,56,54,68,178,79,29,18,126,43,57,49,149,85,33,2,120,41,57,15,113,16,18,6,40,84,82,20,186,65,72,41,178,78,38,10,126,54,82,13,149,69,35,16,120
26,phase2,2.7006,1.0303,0.4742,0.8041,0.4028,0.1286,1.0263,1.2768,0.8607,0.1067,0.3594,0.7818,0.6041,0.5343,0.6612,best,0.8649,0.7321,0.6308,0.8153,0.7333,0.8690,0.9407,0.6469,0.4716,0.5576,0.6226,0.6046,0.5276,0.4994,58,46,9,113,16,25,0,41,88,78,17,183,37,59,86,182,68,39,17,124,29,77,45,151,73,40,6,119,41,57,15,113,16,19,6,41,81,82,20,183,68,73,41,182,75,38,11,124,56,82,13,151,69,34,16,119
27,phase2,2.5760,0.9451,0.4744,0.7801,0.3980,0.1235,1.0253,1.2950,0.8647,0.1081,0.3471,0.7860,0.6173,0.5512,0.6716,best,0.8682,0.7304,0.6448,0.8198,0.7381,0.8649,0.9333,0.6374,0.4593,0.5841,0.6518,0.6325,0.5114,0.5390,59,44,10,113,16,26,0,42,93,73,17,183,44,65,74,183,75,36,16,127,26,72,49,147,72,43,5,120,41,57,15,113,17,19,6,42,82,80,21,183,68,74,41,183,78,38,11,127,53,82,12,147,69,35,16,120
28,phase2,2.6576,0.9819,0.4653,0.7661,0.3918,0.1190,1.0333,1.2748,0.8573,0.1068,0.3614,0.7840,0.6141,0.5564,0.6705,,0.8659,0.7107,0.6473,0.8054,0.7464,0.8727,0.9291,0.6620,0.4792,0.5723,0.6435,0.6404,0.5243,0.5014,58,45,11,114,15,28,0,43,91,74,19,184,44,63,72,179,76,40,15,131,28,74,46,148,85,30,4,119,42,57,15,114,17,20,6,43,82,81,21,184,65,73,41,179,81,39,11,131,53,83,12,148,68,35,16,119
29,phase2,2.4675,0.8764,0.4561,0.7418,0.3842,0.1146,1.0270,1.2825,0.8630,0.1074,0.3550,0.7846,0.6212,0.5527,0.6728,best,0.8784,0.7288,0.6401,0.8109,0.7378,0.8735,0.9291,0.6883,0.4792,0.5940,0.6700,0.6157,0.5069,0.5362,54,47,12,113,15,28,0,43,84,73,26,183,42,63,75,180,70,36,18,124,25,77,48,150,82,31,6,119,41,57,15,113,17,20,6,43,82,80,21,183,67,71,42,180,75,38,11,124,55,83,12,150,68,35,16,119
30,phase2,2.3938,0.8597,0.4482,0.7341,0.3838,0.1123,1.0269,1.2880,0.8623,0.1071,0.3562,0.7886,0.6184,0.5643,0.6757,best,0.8784,0.7304,0.6474,0.8081,0.7522,0.8788,0.9291,0.6472,0.4956,0.6092,0.6608,0.6156,0.5405,0.5099,59,43,11,113,21,21,0,42,92,74,19,185,51,60,70,181,78,37,14,129,34,63,51,148,84,31,4,119,41,57,15,113,17,19,6,42,83,80,22,185,67,73,41,181,79,39,11,129,54,82,12,148,68,35,16,119
31,phase2,2.3573,0.8272,0.4455,0.7202,0.3755,0.1046,1.0311,1.2785,0.8654,0.1071,0.3546,0.7905,0.6264,0.5617,0.6791,best,0.8828,0.7350,0.6509,0.8212,0.7390,0.8683,0.9370,0.6675,0.4996,0.6557,0.6629,0.6093,0.5375,0.5045,59,40,15,114,21,22,0,43,95,61,28,184,56,60,72,188,81,30,18,129,37,62,52,151,85,29,6,120,42,57,15,114,17,20,6,43,83,79,22,184,71,76,41,188,79,39,11,129,56,83,12,151,69,35,16,120
32,phase2,2.2827,0.8094,0.4280,0.6957,0.3598,0.1257,1.0170,1.2728,0.8533,0.1065,0.3689,0.7916,0.6207,0.5671,0.6784,,0.8863,0.7652,0.6475,0.8158,0.7455,0.8735,0.9333,0.6631,0.5029,0.5960,0.6681,0.5672,0.5653,0.4930,62,45,7,114,18,26,0,44,106,66,13,185,68,62,58,188,78,32,15,125,38,74,37,149,87,31,2,120,42,57,15,114,17,21,6,44,83,80,22,185,71,75,42,188,74,40,11,125,55,82,12,149,69,35,16,120
33,phase2,2.3240,0.7987,0.4316,0.6828,0.3616,0.1170,1.0515,1.2950,0.8675,0.1084,0.3363,0.7939,0.6270,0.5700,0.6824,best,0.8794,0.7521,0.6510,0.8228,0.7478,0.8716,0.9449,0.6765,0.5201,0.6343,0.6673,0.6179,0.5492,0.4816,60,45,9,114,19,25,0,44,101,62,23,186,63,61,65,189,80,32,17,129,41,64,47,152,84,32,4,120,42,57,15,114,17,21,6,44,83,81,22,186,70,77,42,189,79,39,11,129,56,83,13,152,69,35,16,120
34,phase2,2.1401,0.7115,0.4229,0.6683,0.3571,0.1137,1.0129,1.2959,0.8630,0.1076,0.3562,0.7903,0.6271,0.5798,0.6829,best,0.8760,0.7627,0.6486,0.8202,0.7394,0.8683,0.9333,0.6651,0.4886,0.6011,0.6720,0.6189,0.5550,0.4986,60,46,8,114,16,29,0,45,95,70,18,183,61,64,64,189,75,37,13,125,38,75,38,151,82,35,3,120,42,57,15,114,18,21,6,45,83,79,21,183,72,75,42,189,75,39,11,125,56,83,12,151,69,35,16,120
35,phase2,2.2412,0.7616,0.4253,0.6683,0.3545,0.1181,1.0338,1.2847,0.8595,0.1074,0.3563,0.7929,0.6351,0.5680,0.6848,best,0.8769,0.7377,0.6544,0.8230,0.7471,0.8716,0.9333,0.7114,0.5061,0.6255,0.6647,0.6398,0.5336,0.5495,56,46,13,115,17,28,0,45,92,65,25,182,56,64,67,187,81,34,15,130,39,69,44,152,82,33,5,120,42,58,15,115,18,21,6,45,83,78,21,182,70,75,42,187,80,39,11,130,56,83,13,152,69,35,16,120
36,phase2,2.2250,0.7584,0.4246,0.6656,0.3578,0.1000,1.0420,1.2785,0.8580,0.1071,0.3565,0.7912,0.6446,0.5790,0.6901,best,0.8760,0.7521,0.6534,0.8204,0.7331,0.8776,0.9333,0.6785,0.5188,0.6548,0.6937,0.6438,0.5598,0.4859,58,46,10,114,17,27,0,44,88,73,23,184,63,66,58,187,77,36,15,128,39,76,37,152,84,32,4,120,42,57,15,114,17,21,6,44,83,79,22,184,70,75,42,187,78,39,11,128,56,82,14,152,69,35,16,120
37,phase2,2.1647,0.7386,0.4134,0.6559,0.3537,0.1238,1.0074,1.2836,0.8537,0.1067,0.3673,0.7934,0.6424,0.5866,0.6916,best,0.8837,0.7611,0.6520,0.8230,0.7403,0.8690,0.9370,0.6797,0.5158,0.6300,0.6966,0.6429,0.5474,0.5555,58,47,10,115,17,26,0,43,90,69,23,182,65,66,58,189,76,36,15,127,40,69,42,151,83,32,5,120,42,58,15,115,17,20,6,43,83,77,22,182,72,75,42,189,77,39,11,127,56,82,13,151,69,35,16,120
38,phase2,2.1701,0.7211,0.4162,0.6537,0.3505,0.1024,1.0474,1.2942,0.8654,0.1080,0.3436,0.7918,0.6404,0.5817,0.6892,,0.8769,0.7586,0.6461,0.8256,0.7423,0.8716,0.9333,0.6499,0.5188,0.6448,0.6928,0.6271,0.5589,0.5047,60,46,9,115,17,27,0,44,87,73,24,184,65,68,57,190,75,35,14,124,39,76,36,151,83,34,3,120,42,58,15,115,17,21,6,44,84,78,22,184,72,76,42,190,74,39,11,124,56,82,13,151,69,35,16,120
39,phase2,2.1123,0.6988,0.4142,0.6432,0.3560,0.1178,0.9986,1.2903,0.8631,0.1084,0.3580,0.7918,0.6411,0.5864,0.6905,,0.8760,0.7544,0.6557,0.8140,0.7403,0.8743,0.9370,0.6717,0.5158,0.6532,0.6910,0.6222,0.5567,0.5047,58,46,10,114,17,26,0,43,88,70,27,185,62,67,60,189,77,35,15,127,39,73,39,151,83,34,3,120,41,58,15,114,17,20,6,43,84,79,22,185,72,75,42,189,77,39,11,127,56,82,13,151,69,35,16,120
40,phase2,2.1487,0.7056,0.4145,0.6422,0.3437,0.1073,1.0337,1.3051,0.8684,0.1077,0.3430,0.7941,0.6354,0.5840,0.6886,,0.8837,0.7586,0.6545,0.8186,0.7432,0.8769,0.9333,0.6735,0.5016,0.6490,0.6810,0.6196,0.5598,0.4904,59,46,10,115,19,25,0,44,89,65,28,182,64,62,62,188,79,31,16,126,42,68,41,151,86,31,3,120,42,58,15,115,17,21,6,44,83,77,22,182,72,74,42,188,76,39,11,126,56,82,13,151,69,35,16,120
41,phase2,2.0598,0.6606,0.4083,0.6438,0.3511,0.1210,1.0188,1.2844,0.8584,0.1074,0.3565,0.7914,0.6367,0.5853,0.6883,,0.8803,0.7478,0.6521,0.8196,0.7372,0.8716,0.9370,0.6912,0.5158,0.6540,0.6843,0.6126,0.5481,0.4924,57,46,12,115,17,26,0,43,86,69,28,183,62,63,62,187,76,34,15,125,39,69,43,151,84,33,3,120,42,58,15,115,17,20,6,43,83,78,22,183,71,74,42,187,75,39,11,125,56,82,13,151,69,35,16,120
42,phase2,2.0751,0.6727,0.4026,0.6329,0.3461,0.1074,1.0350,1.2909,0.8683,0.1081,0.3428,0.7923,0.6452,0.5891,0.6928,best,0.8837,0.7586,0.6533,0.8178,0.7403,0.8690,0.9370,0.6797,0.5188,0.6555,0.7036,0.6214,0.5580,0.5065,58,47,10,115,17,27,0,44,89,67,26,182,63,66,58,187,78,34,14,126,41,71,39,151,84,33,3,120,42,58,15,115,17,21,6,44,83,77,22,182,71,74,42,187,76,39,11,126,56,82,13,151,69,35,16,120
43,phase2,2.0488,0.6548,0.4078,0.6323,0.3428,0.1106,1.0222,1.2841,0.8593,0.1070,0.3590,0.7920,0.6393,0.5902,0.6906,,0.8803,0.7521,0.6533,0.8178,0.7425,0.8690,0.9370,0.6954,0.5183,0.6418,0.6940,0.6297,0.5492,0.4886,58,46,11,115,21,23,0,44,89,67,27,183,63,64,60,187,81,32,14,127,41,68,42,151,85,32,3,120,42,58,15,115,17,21,6,44,83,78,22,183,71,74,42,187,77,39,11,127,56,82,13,151,69,35,16,120
44,phase2,2.0922,0.6690,0.4090,0.6347,0.3461,0.1114,1.0275,1.2871,0.8599,0.1078,0.3535,0.7913,0.6441,0.5875,0.6917,,0.8803,0.7521,0.6509,0.8132,0.7365,0.8810,0.9370,0.7079,0.5188,0.6457,0.7095,0.6136,0.5625,0.4843,56,48,11,115,17,27,0,44,87,68,29,184,63,67,58,188,77,34,15,126,41,70,41,152,83,33,4,120,42,58,15,115,17,21,6,44,84,78,22,184,72,74,42,188,76,39,11,126,56,82,14,152,69,35,16,120
45,phase2,2.0462,0.6739,0.4054,0.6323,0.3426,0.1077,1.0233,1.2855,0.8642,0.1073,0.3574,0.7922,0.6407,0.5907,0.6913,,0.8803,0.7521,0.6521,0.8204,0.7365,0.8750,0.9370,0.6954,0.5171,0.6541,0.6904,0.6194,0.5541,0.4903,58,46,11,115,18,26,0,44,88,67,28,183,64,64,60,188,78,33,15,126,41,70,41,152,84,32,4,120,42,58,15,115,17,21,6,44,83,78,22,183,71,75,42,188,76,39,11,126,57,82,13,152,69,35,16,120
46,phase2,2.0496,0.6560,0.4094,0.6249,0.3432,0.1109,1.0219,1.2861,0.8650,0.1077,0.3535,0.7934,0.6379,0.5922,0.6910,,0.8803,0.7586,0.6533,0.8160,0.7403,0.8810,0.9370,0.6735,0.5009,0.6541,0.6988,0.6146,0.5498,0.4886,59,46,10,115,20,24,0,44,88,67,28,183,63,65,59,187,78,34,15,127,41,69,42,152,85,32,3,120,42,58,15,115,17,21,6,44,83,78,22,183,71,74,42,187,77,39,11,127,57,82,13,152,69,35,16,120
